poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat
0,2017-10-12,2017-10-20,11,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,10,8,
1,2017-10-20,2017-11-09,12,0.2222222222222222,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.0,,,,2.0,0.0,0,0,0,1,1,6,1,688.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,mainstream_all,19,2017,10,20,WP19
2,2017-11-09,2017-11-17,13,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,11,8,
3,2017-11-17,2017-11-20,12,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,11,3,
4,2017-11-20,2017-12-07,11,0.1954022988505747,0.5862068965517241,1.796816479400749,0.15517241379310345,0.3879310344827586,0.04310344827586207,2.1176470588235294,2.7142857142857144,,1.5,1.5180722891566265,17,35,0,10,83,116,89,652.0862068965517,0.14655172413793102,0.3017241379310345,0.0,0.08620689655172414,0.7155172413793104,mainstream_all,19,2017,11,17,WP19
5,2017-12-07,2017-12-15,13,0.20581655480984337,0.6174496644295302,2.189327485380117,0.11409395973154363,0.42953020134228187,0.0738255033557047,2.1176470588235294,3.3214285714285716,1.3333333333333333,2.5714285714285716,1.6629213483146068,17,28,6,42,89,149,114,604.6912751677852,0.11409395973154363,0.18791946308724833,0.040268456375838924,0.28187919463087246,0.5973154362416108,mainstream_all,19,2017,12,8,WP19
6,2017-12-15,2018-01-04,13,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,12,20,
7,2018-01-04,2018-01-26,13,0.27034120734908135,0.8110236220472441,2.1875,0.2283464566929134,0.4094488188976378,0.1732283464566929,2.28,3.3333333333333335,1.3333333333333333,2.1578947368421053,1.7777777777777777,25,48,15,38,72,127,96,691.2834645669292,0.1968503937007874,0.3779527559055118,0.11811023622047244,0.2992125984251969,0.5669291338582677,mainstream_all,19,2018,1,22,WP19
8,2018-01-26,2018-02-01,12,0.2121212121212121,0.6363636363636364,2.5454545454545454,0.09090909090909091,0.45454545454545453,0.09090909090909091,,,,2.0,2.4545454545454546,0,0,0,1,11,11,11,682.0909090909091,0.0,0.0,0.0,0.09090909090909091,1.0,mainstream_all,19,2018,1,6,WP19
9,2018-02-01,2018-02-15,14,0.2603406326034063,0.781021897810219,2.3095238095238093,0.24087591240875914,0.3795620437956204,0.16058394160583941,2.789473684210526,2.7954545454545454,2.473684210526316,2.4166666666666665,1.9452054794520548,19,44,19,36,73,137,119,686.8321167883212,0.1386861313868613,0.32116788321167883,0.1386861313868613,0.26277372262773724,0.5328467153284672,mainstream_all,19,2018,2,14,WP19
