poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd
0,2017-10-12,2017-10-20,11,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,10,8,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,2017-10-20,2017-11-09,12,0.2222222222222222,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.0,,,,2.0,0.0,0,0,0,1,1,6,1,688.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,mainstream_all,19,2017,10,20,WP19,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.4444444444444446,4.333333333333333,6.666666666666667,1.6666666666666667,1.6666666666666667,1.0,,,,5.0,8.0
2,2017-11-09,2017-11-17,13,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,11,8,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,2017-11-17,2017-11-20,12,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,11,3,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
4,2017-11-20,2017-12-07,11,0.1954022988505747,0.5862068965517241,1.796816479400749,0.15517241379310345,0.3879310344827586,0.04310344827586207,2.1176470588235294,2.7142857142857144,,1.5,1.5180722891566265,17,35,0,10,83,116,89,652.0862068965517,0.14655172413793102,0.3017241379310345,0.0,0.08620689655172414,0.7155172413793104,mainstream_all,19,2017,11,17,WP19,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.48793103448275865,1.4637931034482756,4.729499310072935,0.5448275862068965,0.6620689655172414,0.25689655172413794,7.132352941176471,4.428571428571429,,3.0,5.218769816106531
5,2017-12-07,2017-12-15,13,0.20581655480984337,0.6174496644295302,2.189327485380117,0.11409395973154363,0.42953020134228187,0.0738255033557047,2.1176470588235294,3.3214285714285716,1.3333333333333333,2.5714285714285716,1.6629213483146068,17,28,6,42,89,149,114,604.6912751677852,0.11409395973154363,0.18791946308724833,0.040268456375838924,0.28187919463087246,0.5973154362416108,mainstream_all,19,2017,12,8,WP19,0.893939393939394,2.6818181818181817,6.508771929824562,1.0,1.3636363636363635,0.3181818181818182,8.0,6.285714285714286,,7.0,6.764705882352941,22,19,2,7,0,8,17,0.09090909090909091,0.3181818181818182,0.0,0.36363636363636365,0.7727272727272727,0.6881228391295506,2.0643685173886515,4.319444444444445,0.8859060402684564,0.9341061622940816,0.24435631482611347,5.882352941176471,2.964285714285714,,4.428571428571429,5.101784534038334
6,2017-12-15,2018-01-04,13,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2017,12,20,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,2018-01-04,2018-01-26,13,0.27034120734908135,0.8110236220472441,2.1875,0.2283464566929134,0.4094488188976378,0.1732283464566929,2.28,3.3333333333333335,1.3333333333333333,2.1578947368421053,1.7777777777777777,25,48,15,38,72,127,96,691.2834645669292,0.1968503937007874,0.3779527559055118,0.11811023622047244,0.2992125984251969,0.5669291338582677,mainstream_all,19,2018,1,22,WP19,1.1587301587301586,3.4761904761904763,8.033333333333333,1.0952380952380953,1.4761904761904763,0.9047619047619048,7.4,8.571428571428571,8.25,7.7,8.31578947368421,21,20,5,14,8,10,19,0.23809523809523808,0.6666666666666666,0.38095238095238093,0.47619047619047616,0.9047619047619048,0.8883889513810772,2.6651668541432323,5.845833333333333,0.8668916385451819,1.0667416572928385,0.7315335583052118,5.120000000000001,5.238095238095237,6.916666666666667,5.542105263157895,6.538011695906433
8,2018-01-26,2018-02-01,12,0.2121212121212121,0.6363636363636364,2.5454545454545454,0.09090909090909091,0.45454545454545453,0.09090909090909091,,,,2.0,2.4545454545454546,0,0,0,1,11,11,11,682.0909090909091,0.0,0.0,0.0,0.09090909090909091,1.0,mainstream_all,19,2018,1,6,WP19,1.5,4.5,9.5,1.5,2.0,1.0,,,,,9.5,2,2,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,1.2878787878787878,3.8636363636363638,6.954545454545455,1.4090909090909092,1.5454545454545454,0.9090909090909091,,,,,7.045454545454545
9,2018-02-01,2018-02-15,14,0.2603406326034063,0.781021897810219,2.3095238095238093,0.24087591240875914,0.3795620437956204,0.16058394160583941,2.789473684210526,2.7954545454545454,2.473684210526316,2.4166666666666665,1.9452054794520548,19,44,19,36,73,137,119,686.8321167883212,0.1386861313868613,0.32116788321167883,0.1386861313868613,0.26277372262773724,0.5328467153284672,mainstream_all,19,2018,2,14,WP19,1.1296296296296295,3.388888888888889,7.234375,1.0,1.5555555555555556,0.8333333333333334,6.75,8.375,8.0,6.777777777777778,7.769230769230769,18,16,4,8,5,9,13,0.2222222222222222,0.4444444444444444,0.2777777777777778,0.5,0.7222222222222222,0.8692889970262232,2.60786699107867,4.924851190476191,0.7591240875912408,1.1759935117599352,0.6727493917274939,3.960526315789474,5.579545454545455,5.526315789473684,4.361111111111111,5.824025289778715
