poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,_time_order,afd_support_c
1,2017-10-20,2017-11-09,12,cdu/csu,31.000,32.000,-1.000,1.000,0.000,0.000,,0.000,0.000,0.000,,,,,,0,0,0,0,0,1,0,656.000,True,False,4.000,CDU/CSU,0.000,0.000,0.000,0.000,0.000,6,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,Regierung,1.000,0.000,19.000,WP19,2017,10,20,1.667,5.000,7.667,2.000,2.000,1.000,,8.000,,7.000,8.000,1,1,0,1,0,1,1,0.000,1.000,0.000,1.000,1.000,1.667,5.000,,2.000,2.000,1.000,,,,,,2017-10-20,-2.649
4,2017-11-20,2017-12-07,11,cdu/csu,32.000,31.000,1.000,1.000,0.070,0.211,2.075,0.026,0.158,0.026,2.714,3.250,,1.000,1.704,7,12,0,2,27,38,29,694.763,True,False,4.000,CDU/CSU,0.184,0.316,0.000,0.053,0.711,116,17,35,0,10,83,0.060,0.103,0.000,0.017,0.233,0.412,0.343,,0.200,0.325,Regierung,1.000,0.000,19.000,WP19,2017,11,17,0.683,2.050,6.526,0.700,1.050,0.300,9.250,7.143,8.000,4.500,6.737,20,19,4,7,1,4,19,0.200,0.350,0.050,0.200,0.950,0.613,1.839,4.452,0.674,0.892,0.274,6.536,3.893,,3.500,5.033,2017-11-20,-3.649
5,2017-12-07,2017-12-15,13,spd,21.000,22.000,-1.000,1.000,0.225,0.676,1.048,0.147,0.441,0.088,0.600,1.800,0.000,1.625,1.000,5,5,1,8,21,34,26,626.059,True,False,2.000,SPD,0.147,0.147,0.029,0.235,0.618,149,17,28,6,42,89,0.034,0.034,0.007,0.054,0.141,0.294,0.179,0.167,0.190,0.236,Regierung,1.000,0.000,19.000,WP19,2017,12,8,0.894,2.682,6.509,1.000,1.364,0.318,8.000,6.286,,7.000,6.765,22,19,2,7,0,8,17,0.091,0.318,0.000,0.364,0.773,0.668,2.005,5.461,0.853,0.922,0.230,7.400,4.486,,5.375,5.765,2017-12-07,-1.649
7,2018-01-04,2018-01-26,13,cdu/csu,33.000,32.000,1.000,1.000,0.182,0.545,3.328,0.114,0.205,0.227,2.333,5.667,3.750,3.714,2.815,6,18,4,14,27,44,32,749.227,True,False,4.000,CDU/CSU,0.136,0.409,0.091,0.318,0.614,127,25,48,15,38,72,0.047,0.142,0.031,0.110,0.213,0.240,0.375,0.267,0.368,0.375,Regierung,1.000,0.000,19.000,WP19,2018,1,22,1.159,3.476,8.033,1.095,1.476,0.905,7.400,8.571,8.250,7.700,8.316,21,20,5,14,8,10,19,0.238,0.667,0.381,0.476,0.905,0.977,2.931,4.705,0.982,1.272,0.677,5.067,2.905,4.500,3.986,5.501,2018-01-04,-1.649
8,2018-01-26,2018-02-01,12,spd,19.000,21.000,-2.000,2.000,0.111,0.333,1.667,0.000,0.333,0.000,,,,,1.667,0,0,0,0,3,3,3,615.667,True,False,2.000,SPD,0.000,0.000,0.000,0.000,1.000,11,0,0,0,1,11,0.000,0.000,0.000,0.000,0.273,,,,0.000,0.273,Regierung,1.000,0.000,19.000,WP19,2018,1,6,1.500,4.500,9.500,1.500,2.000,1.000,,,,,9.500,2,2,0,0,0,0,2,0.000,0.000,0.000,0.000,1.000,1.389,4.167,7.833,1.500,1.667,1.000,,,,,7.833,2018-01-26,-2.649
9,2018-02-01,2018-02-15,14,cdu/csu,33.000,33.000,0.000,0.000,0.294,0.881,4.046,0.214,0.333,0.333,3.833,6.900,5.429,4.385,3.538,6,10,7,13,26,42,36,834.238,True,False,4.000,CDU/CSU,0.143,0.238,0.167,0.310,0.619,137,19,44,19,36,73,0.044,0.073,0.051,0.095,0.190,0.316,0.227,0.368,0.361,0.356,Regierung,1.000,0.000,19.000,WP19,2018,2,14,1.130,3.389,7.234,1.000,1.556,0.833,6.750,8.375,8.000,6.778,7.769,18,16,4,8,5,9,13,0.222,0.444,0.278,0.500,0.722,0.836,2.508,3.188,0.786,1.222,0.500,2.917,1.475,2.571,2.393,4.231,2018-02-01,-0.649
10,2018-02-15,2018-02-23,15,spd,16.000,18.000,-2.000,2.000,0.250,0.750,1.434,0.143,0.429,0.179,1.286,3.000,1.333,0.600,1.375,7,9,9,10,16,28,24,686.321,True,False,2.000,SPD,0.250,0.321,0.321,0.357,0.571,111,32,30,33,47,55,0.063,0.081,0.081,0.090,0.144,0.219,0.300,0.273,0.213,0.291,Regierung,1.000,0.000,19.000,WP19,2018,2,8,1.083,3.250,8.089,1.188,1.438,0.625,8.250,8.167,8.167,7.625,8.500,16,14,4,6,6,8,10,0.250,0.375,0.375,0.500,0.625,0.833,2.500,6.655,1.045,1.009,0.446,6.964,5.167,6.833,7.025,7.125,2018-02-15,0.351
11,2018-02-23,2018-03-01,14,cdu/csu,34.000,33.000,1.000,1.000,0.136,0.409,2.843,0.045,0.227,0.136,,5.000,3.667,1.500,2.615,0,3,3,4,13,22,17,730.909,True,False,4.000,CDU/CSU,0.000,0.136,0.136,0.182,0.591,61,1,9,10,11,40,0.000,0.049,0.049,0.066,0.213,0.000,0.333,0.300,0.364,0.325,Regierung,1.000,0.000,19.000,WP19,2018,2,6,0.900,2.700,6.979,1.000,1.200,0.500,9.000,8.600,8.000,6.333,7.125,10,8,2,5,2,3,8,0.200,0.500,0.200,0.300,0.800,0.764,2.291,4.136,0.955,0.973,0.364,,3.600,4.333,4.833,4.510,2018-02-23,-0.649
12,2018-03-01,2018-03-23,15,linke,9.000,10.000,-1.000,1.000,0.578,1.733,1.338,0.533,1.033,0.167,0.875,1.706,0.500,1.000,1.345,8,17,8,19,29,60,40,598.917,True,False,0.000,Die Linke,0.133,0.283,0.133,0.317,0.483,420,53,87,51,116,202,0.019,0.040,0.019,0.045,0.069,0.151,0.195,0.157,0.164,0.144,Opposition,0.000,1.000,19.000,WP19,2018,3,22,0.874,2.623,7.031,0.812,1.261,0.551,7.900,8.433,8.000,7.208,7.113,69,57,10,30,17,24,53,0.145,0.435,0.246,0.348,0.768,0.297,0.890,5.693,0.278,0.228,0.384,7.025,6.727,7.500,6.208,5.768,2018-03-01,0.351
13,2018-03-23,2018-04-05,13,spd,19.000,18.000,1.000,1.000,0.051,0.154,2.611,0.000,0.077,0.077,2.000,3.333,2.000,2.333,2.000,2,3,1,3,2,13,6,687.846,True,False,2.000,SPD,0.154,0.231,0.077,0.231,0.154,49,15,11,7,19,12,0.041,0.061,0.020,0.061,0.041,0.133,0.273,0.143,0.158,0.167,Regierung,1.000,0.000,19.000,WP19,2018,3,13,1.128,3.385,8.425,1.154,1.538,0.692,9.000,8.857,8.500,8.000,8.333,13,10,4,7,4,5,9,0.308,0.538,0.308,0.385,0.692,1.077,3.231,5.814,1.154,1.462,0.615,7.000,5.524,6.500,5.667,6.333,2018-03-23,-1.649
