afd_support_t,wahlperiode_cat,afd_support_c,predicted_gal_tan,ci_95_low,ci_95_high
9.000,WP19,-5.649,6.751,6.510,6.992
9.172,WP19,-5.477,6.759,6.522,6.997
9.343,WP19,-5.305,6.768,6.534,7.001
9.515,WP19,-5.133,6.776,6.546,7.006
9.687,WP19,-4.962,6.784,6.557,7.011
9.859,WP19,-4.790,6.793,6.569,7.017
10.030,WP19,-4.618,6.801,6.580,7.022
10.202,WP19,-4.447,6.809,6.591,7.027
10.374,WP19,-4.275,6.818,6.602,7.033
10.545,WP19,-4.103,6.826,6.613,7.039
10.717,WP19,-3.931,6.834,6.623,7.045
10.889,WP19,-3.760,6.842,6.634,7.051
11.061,WP19,-3.588,6.851,6.644,7.058
11.232,WP19,-3.416,6.859,6.654,7.064
11.404,WP19,-3.245,6.867,6.664,7.071
11.576,WP19,-3.073,6.876,6.673,7.078
11.747,WP19,-2.901,6.884,6.683,7.085
11.919,WP19,-2.729,6.892,6.692,7.092
12.091,WP19,-2.558,6.900,6.701,7.100
12.263,WP19,-2.386,6.909,6.710,7.108
12.434,WP19,-2.214,6.917,6.718,7.116
12.606,WP19,-2.043,6.925,6.727,7.124
12.778,WP19,-1.871,6.934,6.735,7.133
12.949,WP19,-1.699,6.942,6.743,7.141
13.121,WP19,-1.527,6.950,6.750,7.150
13.293,WP19,-1.356,6.959,6.758,7.159
13.465,WP19,-1.184,6.967,6.765,7.168
13.636,WP19,-1.012,6.975,6.772,7.178
13.808,WP19,-0.841,6.983,6.779,7.188
13.980,WP19,-0.669,6.992,6.786,7.198
14.152,WP19,-0.497,7.000,6.792,7.208
14.323,WP19,-0.325,7.008,6.799,7.218
14.495,WP19,-0.154,7.017,6.805,7.228
14.667,WP19,0.018,7.025,6.811,7.239
14.838,WP19,0.190,7.033,6.816,7.250
15.010,WP19,0.361,7.041,6.822,7.261
15.182,WP19,0.533,7.050,6.828,7.272
15.354,WP19,0.705,7.058,6.833,7.283
15.525,WP19,0.877,7.066,6.838,7.295
15.697,WP19,1.048,7.075,6.843,7.306
15.869,WP19,1.220,7.083,6.848,7.318
16.040,WP19,1.392,7.091,6.853,7.330
16.212,WP19,1.563,7.100,6.857,7.342
16.384,WP19,1.735,7.108,6.862,7.354
16.556,WP19,1.907,7.116,6.866,7.366
16.727,WP19,2.079,7.124,6.870,7.379
16.899,WP19,2.250,7.133,6.874,7.391
17.071,WP19,2.422,7.141,6.879,7.403
17.242,WP19,2.594,7.149,6.883,7.416
17.414,WP19,2.765,7.158,6.886,7.429
17.586,WP19,2.937,7.166,6.890,7.442
17.758,WP19,3.109,7.174,6.894,7.454
17.929,WP19,3.281,7.182,6.898,7.467
18.101,WP19,3.452,7.191,6.901,7.480
18.273,WP19,3.624,7.199,6.905,7.494
18.444,WP19,3.796,7.207,6.908,7.507
18.616,WP19,3.968,7.216,6.911,7.520
18.788,WP19,4.139,7.224,6.915,7.533
18.960,WP19,4.311,7.232,6.918,7.546
19.131,WP19,4.483,7.241,6.921,7.560
19.303,WP19,4.654,7.249,6.924,7.573
19.475,WP19,4.826,7.257,6.927,7.587
19.646,WP19,4.998,7.265,6.931,7.600
19.818,WP19,5.170,7.274,6.934,7.614
19.990,WP19,5.341,7.282,6.937,7.628
20.162,WP19,5.513,7.290,6.939,7.641
20.333,WP19,5.685,7.299,6.942,7.655
20.505,WP19,5.856,7.307,6.945,7.669
20.677,WP19,6.028,7.315,6.948,7.682
20.848,WP19,6.200,7.324,6.951,7.696
21.020,WP19,6.372,7.332,6.954,7.710
21.192,WP19,6.543,7.340,6.956,7.724
21.364,WP19,6.715,7.348,6.959,7.738
21.535,WP19,6.887,7.357,6.962,7.752
21.707,WP19,7.058,7.365,6.964,7.766
21.879,WP19,7.230,7.373,6.967,7.780
22.051,WP19,7.402,7.382,6.969,7.794
22.222,WP19,7.574,7.390,6.972,7.808
22.394,WP19,7.745,7.398,6.974,7.822
22.566,WP19,7.917,7.406,6.977,7.836
22.737,WP19,8.089,7.415,6.979,7.850
22.909,WP19,8.260,7.423,6.982,7.864
23.081,WP19,8.432,7.431,6.984,7.878
23.253,WP19,8.604,7.440,6.987,7.892
23.424,WP19,8.776,7.448,6.989,7.907
23.596,WP19,8.947,7.456,6.992,7.921
23.768,WP19,9.119,7.465,6.994,7.935
23.939,WP19,9.291,7.473,6.996,7.949
24.111,WP19,9.462,7.481,6.999,7.964
24.283,WP19,9.634,7.489,7.001,7.978
24.455,WP19,9.806,7.498,7.003,7.992
24.626,WP19,9.978,7.506,7.006,8.006
24.798,WP19,10.149,7.514,7.008,8.021
24.970,WP19,10.321,7.523,7.010,8.035
25.141,WP19,10.493,7.531,7.012,8.049
25.313,WP19,10.664,7.539,7.015,8.064
25.485,WP19,10.836,7.547,7.017,8.078
25.657,WP19,11.008,7.556,7.019,8.092
25.828,WP19,11.180,7.564,7.021,8.107
26.000,WP19,11.351,7.572,7.024,8.121
