afd_support_t,wahlperiode_cat,afd_support_c,predicted_populism,ci_95_low,ci_95_high
9.000,WP19,-5.649,0.836,0.757,0.915
9.172,WP19,-5.477,0.839,0.762,0.916
9.343,WP19,-5.305,0.843,0.767,0.918
9.515,WP19,-5.133,0.846,0.772,0.919
9.687,WP19,-4.962,0.849,0.778,0.921
9.859,WP19,-4.790,0.853,0.783,0.923
10.030,WP19,-4.618,0.856,0.787,0.924
10.202,WP19,-4.447,0.859,0.792,0.926
10.374,WP19,-4.275,0.863,0.797,0.928
10.545,WP19,-4.103,0.866,0.802,0.930
10.717,WP19,-3.931,0.869,0.806,0.932
10.889,WP19,-3.760,0.873,0.811,0.934
11.061,WP19,-3.588,0.876,0.815,0.936
11.232,WP19,-3.416,0.879,0.820,0.939
11.404,WP19,-3.245,0.883,0.824,0.941
11.576,WP19,-3.073,0.886,0.828,0.944
11.747,WP19,-2.901,0.889,0.832,0.946
11.919,WP19,-2.729,0.893,0.836,0.949
12.091,WP19,-2.558,0.896,0.840,0.952
12.263,WP19,-2.386,0.899,0.843,0.955
12.434,WP19,-2.214,0.903,0.847,0.958
12.606,WP19,-2.043,0.906,0.850,0.962
12.778,WP19,-1.871,0.909,0.853,0.965
12.949,WP19,-1.699,0.913,0.856,0.969
13.121,WP19,-1.527,0.916,0.859,0.972
13.293,WP19,-1.356,0.919,0.862,0.976
13.465,WP19,-1.184,0.923,0.865,0.980
13.636,WP19,-1.012,0.926,0.868,0.984
13.808,WP19,-0.841,0.929,0.870,0.988
13.980,WP19,-0.669,0.933,0.873,0.993
14.152,WP19,-0.497,0.936,0.875,0.997
14.323,WP19,-0.325,0.939,0.877,1.001
14.495,WP19,-0.154,0.943,0.879,1.006
14.667,WP19,0.018,0.946,0.881,1.011
14.838,WP19,0.190,0.949,0.883,1.015
15.010,WP19,0.361,0.953,0.885,1.020
15.182,WP19,0.533,0.956,0.887,1.025
15.354,WP19,0.705,0.959,0.888,1.030
15.525,WP19,0.877,0.963,0.890,1.035
15.697,WP19,1.048,0.966,0.892,1.040
15.869,WP19,1.220,0.969,0.893,1.045
16.040,WP19,1.392,0.973,0.895,1.050
16.212,WP19,1.563,0.976,0.896,1.056
16.384,WP19,1.735,0.979,0.898,1.061
16.556,WP19,1.907,0.983,0.899,1.066
16.727,WP19,2.079,0.986,0.900,1.072
16.899,WP19,2.250,0.989,0.902,1.077
17.071,WP19,2.422,0.993,0.903,1.082
17.242,WP19,2.594,0.996,0.904,1.088
17.414,WP19,2.765,0.999,0.905,1.093
17.586,WP19,2.937,1.003,0.906,1.099
17.758,WP19,3.109,1.006,0.907,1.104
17.929,WP19,3.281,1.009,0.909,1.110
18.101,WP19,3.452,1.013,0.910,1.116
18.273,WP19,3.624,1.016,0.911,1.121
18.444,WP19,3.796,1.019,0.912,1.127
18.616,WP19,3.968,1.023,0.913,1.132
18.788,WP19,4.139,1.026,0.914,1.138
18.960,WP19,4.311,1.029,0.915,1.144
19.131,WP19,4.483,1.033,0.916,1.149
19.303,WP19,4.654,1.036,0.917,1.155
19.475,WP19,4.826,1.039,0.918,1.161
19.646,WP19,4.998,1.043,0.919,1.167
19.818,WP19,5.170,1.046,0.920,1.172
19.990,WP19,5.341,1.049,0.921,1.178
20.162,WP19,5.513,1.053,0.921,1.184
20.333,WP19,5.685,1.056,0.922,1.190
20.505,WP19,5.856,1.059,0.923,1.195
20.677,WP19,6.028,1.063,0.924,1.201
20.848,WP19,6.200,1.066,0.925,1.207
21.020,WP19,6.372,1.069,0.926,1.213
21.192,WP19,6.543,1.073,0.927,1.218
21.364,WP19,6.715,1.076,0.928,1.224
21.535,WP19,6.887,1.079,0.928,1.230
21.707,WP19,7.058,1.083,0.929,1.236
21.879,WP19,7.230,1.086,0.930,1.242
22.051,WP19,7.402,1.089,0.931,1.248
22.222,WP19,7.574,1.093,0.932,1.253
22.394,WP19,7.745,1.096,0.933,1.259
22.566,WP19,7.917,1.099,0.933,1.265
22.737,WP19,8.089,1.103,0.934,1.271
22.909,WP19,8.260,1.106,0.935,1.277
23.081,WP19,8.432,1.109,0.936,1.283
23.253,WP19,8.604,1.113,0.937,1.289
23.424,WP19,8.776,1.116,0.937,1.295
23.596,WP19,8.947,1.119,0.938,1.300
23.768,WP19,9.119,1.123,0.939,1.306
23.939,WP19,9.291,1.126,0.940,1.312
24.111,WP19,9.462,1.129,0.941,1.318
24.283,WP19,9.634,1.133,0.941,1.324
24.455,WP19,9.806,1.136,0.942,1.330
24.626,WP19,9.978,1.139,0.943,1.336
24.798,WP19,10.149,1.143,0.944,1.342
24.970,WP19,10.321,1.146,0.944,1.348
25.141,WP19,10.493,1.149,0.945,1.354
25.313,WP19,10.664,1.153,0.946,1.359
25.485,WP19,10.836,1.156,0.947,1.365
25.657,WP19,11.008,1.159,0.947,1.371
25.828,WP19,11.180,1.163,0.948,1.377
26.000,WP19,11.351,1.166,0.949,1.383
