Partei,Wahlperiode,n Reden,n Redner:innen,M Wörter,Mdn Wörter,SD Wörter
afd,19. Wahlperiode,2869,94,603.1366329731613,583.0,197.90001635008747
afd,20. Wahlperiode,2371,83,533.1843104175454,505.0,184.97887946076474
afd,21. Wahlperiode,1046,149,561.2810707456979,505.0,247.18853460737301
cdu/csu,19. Wahlperiode,5932,242,709.2596089008766,683.0,240.83912773824937
cdu/csu,20. Wahlperiode,4818,204,633.8123702781237,609.5,245.34334416359238
cdu/csu,21. Wahlperiode,1188,178,616.7979797979798,591.0,245.33749173023875
fdp,19. Wahlperiode,2710,86,566.9586715867159,534.0,212.02095581253516
fdp,20. Wahlperiode,2517,97,605.1636869288836,600.0,204.51086179420054
spd,19. Wahlperiode,4152,156,652.5349229287091,621.0,226.6314810850091
spd,20. Wahlperiode,4709,210,638.6485453387131,622.0,210.23743876624883
spd,21. Wahlperiode,859,97,545.3655413271246,526.0,173.53587733560414
grüne,19. Wahlperiode,2489,70,587.2965046203294,548.0,212.59022217436032
grüne,20. Wahlperiode,3053,118,576.6983295119554,532.0,211.76488542185822
grüne,21. Wahlperiode,649,85,563.9445300462249,539.0,220.04425061104834
linke,19. Wahlperiode,2415,72,564.3540372670808,522.0,226.04154245158688
linke,20. Wahlperiode,1572,42,445.7964376590331,415.0,169.05896142461677
linke,21. Wahlperiode,519,63,514.0809248554913,441.0,244.53497985541495
