Variable,N,M,SD,Mdn,Min.,Max.,Schiefe
Populismus-Gesamtindex,43868,0.3529755934470077,0.44240777348708993,0.3333333333333333,0.0,2.0,1.372121327743831
Populismussumme,43868,1.0589267803410232,1.3272233204612698,1.0,0.0,6.0,1.37212132774383
GAL–TAN-Gesamtindex,31797,2.900622700254741,2.809303416125688,2.0,0.0,10.0,0.9884246245019562
Volkszentrierung,43868,0.316426552384426,0.5279841395434629,0.0,0.0,2.0,1.4099059574628854
Anti-Elitismus,43868,0.6033099297893681,0.6861854791039156,0.0,0.0,2.0,0.6997479973921057
Ausschluss von Outgroups,43868,0.13919029816722897,0.4057540869060782,0.0,0.0,2.0,3.0270174902159552
Umwelt und Klima,11540,3.288041594454073,3.128700076465486,2.0,0.0,10.0,0.8233218641342701
Migration,7086,4.636748518204911,3.31083187711797,3.0,0.0,10.0,0.17669744710895804
Gesellschaftspolitik,4919,2.807277902012604,3.4497879493245063,1.0,0.0,10.0,0.9243790382406785
Bürgerrechte,13429,2.8964926651277088,2.8945076131613052,2.0,0.0,10.0,0.8512714844818144
Kosmopolitismus,19261,2.9536888012045064,3.035243744804969,2.0,0.0,10.0,0.9337393828679929
