Partei,Thema,n Reden gesamt,n thematisiert,% thematisiert,M Position,SD Position
afd,Bürgerrechte,6286,2491,39.62774419344575,6.494981934965877,2.6143477516084563
afd,Gesellschaftspolitik,6286,1193,18.978682787146038,7.9765297569153395,1.7740066776301984
afd,Kosmopolitismus,6286,4112,65.4152083996182,7.4832198443579765,2.0353744742947737
afd,Migration,6286,1833,29.160038180082722,8.384615384615385,1.5169792571126044
afd,Umwelt und Klima,6286,1921,30.559974546611517,8.304528891202498,1.7846058444733404
cdu/csu,Bürgerrechte,11938,3181,26.6460043558385,3.4860106884627475,2.818549711574249
cdu/csu,Gesellschaftspolitik,11938,811,6.793432735801642,2.590628853267571,2.7234892242622575
cdu/csu,Kosmopolitismus,11938,4883,40.90299882727425,2.6264591439688716,2.3444942554693027
cdu/csu,Migration,11938,1508,12.631931646842018,5.41710875331565,2.7470969890768555
cdu/csu,Umwelt und Klima,11938,2626,21.996984419500755,3.9813404417364815,2.644677363103563
fdp,Bürgerrechte,5227,1510,28.88846374593457,2.072185430463576,2.068273353323629
fdp,Gesellschaftspolitik,5227,367,7.021235890568204,1.2997275204359673,1.8220192161205897
fdp,Kosmopolitismus,5227,2147,41.07518653147121,1.9124359571495109,1.7116913312260105
fdp,Migration,5227,694,13.277214463363306,3.8645533141210375,2.501736196987605
fdp,Umwelt und Klima,5227,1084,20.738473311651042,3.658671586715867,2.430513263678431
spd,Bürgerrechte,9720,2863,29.454732510288064,1.4631505413901502,1.6733474468526914
spd,Gesellschaftspolitik,9720,1171,12.047325102880658,0.784799316823228,1.2003451881866947
spd,Kosmopolitismus,9720,3899,40.11316872427984,1.1015645037189024,1.1697596873497644
spd,Migration,9720,1461,15.030864197530864,2.292265571526352,1.9595572957116825
spd,Umwelt und Klima,9720,2509,25.81275720164609,1.4663212435233162,1.234861140176268
grüne,Bürgerrechte,6191,1994,32.20804393474398,1.3014042126379137,1.4276068255902807
grüne,Gesellschaftspolitik,6191,825,13.325795509610725,0.5430303030303031,0.9404104816943567
grüne,Kosmopolitismus,6191,2634,42.54563075432079,1.0231586940015187,1.120805438452356
grüne,Migration,6191,942,15.21563560006461,2.096602972399151,1.9483798358131483
grüne,Umwelt und Klima,6191,2298,37.11839767404297,1.097911227154047,1.0430377368327888
linke,Bürgerrechte,4506,1390,30.847758544163337,1.2345323741007195,1.3436093696681406
linke,Gesellschaftspolitik,4506,552,12.250332889480692,0.6304347826086957,1.1702673897165863
linke,Kosmopolitismus,4506,1586,35.19751442521083,1.3865069356872635,1.6547553591664346
linke,Migration,4506,648,14.380825565912117,2.0246913580246915,2.135156857031637
linke,Umwelt und Klima,4506,1102,24.456280514869064,1.2413793103448276,1.3604619024635518
