mean_gal_tan_score,afd_support_t,wahlperiode_cat,poll_date,afd_mean_gal_tan_score,gal_tan_distance_to_afd
1.000,12,WP19,2017-10-20,7.667,6.667
1.797,11,WP19,2017-11-20,6.526,4.729
2.189,13,WP19,2017-12-07,6.509,4.319
2.188,13,WP19,2018-01-04,8.033,5.846
2.545,12,WP19,2018-01-26,9.500,6.955
2.310,14,WP19,2018-02-01,7.234,4.925
2.164,15,WP19,2018-02-15,8.089,5.926
1.940,14,WP19,2018-02-23,6.979,5.039
1.989,15,WP19,2018-03-01,7.031,5.042
2.859,13,WP19,2018-03-23,8.425,5.566
2.087,14,WP19,2018-04-05,6.735,4.648
1.609,15,WP19,2018-04-20,6.995,5.385
1.931,15,WP19,2018-05-09,7.292,5.360
1.765,14,WP19,2018-05-18,7.458,5.693
2.152,15,WP19,2018-06-14,7.373,5.221
1.822,14,WP19,2018-06-28,7.056,5.234
2.364,16,WP19,2018-07-05,7.564,5.200
2.070,16,WP19,2018-09-06,7.694,5.624
2.273,18,WP19,2018-09-21,7.131,4.858
1.840,16,WP19,2018-10-11,6.396,4.556
2.079,16,WP19,2018-10-19,6.423,4.344
1.776,14,WP19,2018-11-15,6.458,4.682
1.833,15,WP19,2018-11-30,8.857,7.024
1.500,14,WP19,2018-12-06,6.616,5.116
1.593,13,WP19,2018-12-14,6.926,5.333
2.086,14,WP19,2019-01-10,6.490,4.404
2.126,15,WP19,2019-01-25,6.523,4.398
1.873,13,WP19,2019-02-14,7.021,5.148
2.081,12,WP19,2019-02-22,6.895,4.814
1.280,13,WP19,2019-03-15,6.387,5.107
1.943,12,WP19,2019-03-22,6.900,4.957
1.886,12,WP19,2019-04-04,6.489,4.603
1.855,12,WP19,2019-05-02,6.536,4.681
1.813,13,WP19,2019-05-17,8.044,6.231
1.901,13,WP19,2019-06-06,7.156,5.255
1.554,12,WP19,2019-06-28,6.800,5.246
2.250,13,WP19,2019-07-04,,
1.867,15,WP19,2019-09-05,7.589,5.721
1.591,14,WP19,2019-09-20,6.645,5.054
1.727,14,WP19,2019-10-11,6.481,4.754
1.844,14,WP19,2019-10-18,7.286,5.442
2.060,14,WP19,2019-11-07,6.613,4.553
1.997,14,WP19,2019-11-15,6.778,4.781
1.403,15,WP19,2019-12-05,5.574,4.171
2.290,15,WP19,2019-12-13,7.061,4.770
1.988,14,WP19,2020-01-09,6.308,4.320
1.828,14,WP19,2020-01-24,7.619,5.791
1.027,14,WP19,2020-02-06,4.310,3.283
1.848,14,WP19,2020-02-13,6.872,5.024
1.682,12,WP19,2020-03-05,6.527,4.845
1.546,10,WP19,2020-03-20,4.545,3.000
1.833,9,WP19,2020-04-17,7.133,5.299
1.713,9,WP19,2020-05-07,6.895,5.182
1.517,10,WP19,2020-05-15,6.520,5.003
1.955,9,WP19,2020-06-04,7.730,5.775
1.310,10,WP19,2020-06-26,7.986,6.675
2.102,10,WP19,2020-07-02,6.500,4.398
1.762,10,WP19,2020-09-03,6.648,4.886
1.565,10,WP19,2020-09-18,7.218,5.653
1.734,10,WP19,2020-10-01,6.989,5.255
2.137,11,WP19,2020-10-16,6.853,4.716
1.817,10,WP19,2020-11-12,6.557,4.739
0.702,11,WP19,2020-11-27,7.429,6.727
1.603,10,WP19,2020-12-03,7.701,6.097
1.829,9,WP19,2020-12-11,7.232,5.403
1.786,10,WP19,2021-01-07,6.615,4.829
1.753,10,WP19,2021-01-22,5.851,4.097
1.648,10,WP19,2021-02-04,5.972,4.325
1.684,11,WP19,2021-02-19,6.409,4.725
1.984,11,WP19,2021-03-04,6.687,4.703
1.602,11,WP19,2021-03-19,6.531,4.929
1.394,11,WP19,2021-04-01,7.278,5.883
1.793,11,WP19,2021-04-16,6.209,4.417
1.969,12,WP19,2021-05-06,6.509,4.539
1.542,11,WP19,2021-05-14,6.666,5.124
2.232,12,WP19,2021-06-10,7.062,4.830
1.326,12,WP19,2021-06-25,6.821,5.496
2.125,11,WP19,2021-08-20,7.481,5.356
2.790,12,WP19,2021-09-02,6.317,3.526
1.500,11,WP20,2021-09-16,7.750,6.250
2.243,10,WP20,2021-11-04,7.684,5.441
2.122,11,WP20,2021-12-02,7.929,5.806
2.432,11,WP20,2021-12-10,6.827,4.395
1.956,11,WP20,2022-01-06,7.615,5.659
2.319,12,WP20,2022-01-21,7.238,4.919
1.696,12,WP20,2022-02-03,7.694,5.999
1.911,12,WP20,2022-02-18,7.094,5.183
1.856,11,WP20,2022-03-03,6.413,4.557
1.719,11,WP20,2022-03-18,6.736,5.017
1.851,11,WP20,2022-04-07,7.246,5.395
1.109,11,WP20,2022-04-14,7.083,5.974
1.801,11,WP20,2022-04-28,6.203,4.401
1.968,11,WP20,2022-05-13,7.134,5.166
1.923,11,WP20,2022-06-02,6.830,4.907
1.803,12,WP20,2022-06-24,6.778,4.975
1.824,11,WP20,2022-07-07,7.006,5.181
2.371,13,WP20,2022-09-01,7.483,5.112
2.134,14,WP20,2022-09-16,7.406,5.272
2.061,15,WP20,2022-10-06,7.714,5.654
2.004,15,WP20,2022-10-14,7.595,5.591
1.932,14,WP20,2022-11-03,7.273,5.341
1.908,14,WP20,2022-11-11,7.950,6.042
2.200,15,WP20,2022-12-01,7.434,5.234
1.783,15,WP20,2022-12-09,7.089,5.306
2.857,15,WP20,2023-01-05,8.400,5.543
1.703,14,WP20,2023-01-19,6.666,4.963
1.914,15,WP20,2023-02-02,7.062,5.148
1.553,15,WP20,2023-02-17,7.625,6.072
2.046,14,WP20,2023-03-02,7.201,5.155
2.126,15,WP20,2023-03-17,7.302,5.176
2.230,15,WP20,2023-04-14,7.278,5.048
2.296,16,WP20,2023-05-04,7.727,5.431
1.852,16,WP20,2023-05-12,7.310,5.458
1.995,18,WP20,2023-06-01,7.774,5.780
2.408,19,WP20,2023-06-23,8.130,5.722
2.200,20,WP20,2023-07-06,7.353,5.152
2.531,22,WP20,2023-08-31,8.143,5.611
2.548,22,WP20,2023-09-15,7.768,5.220
2.420,22,WP20,2023-09-28,7.620,5.200
2.320,23,WP20,2023-10-13,6.968,4.648
2.370,22,WP20,2023-11-02,7.240,4.870
2.381,21,WP20,2023-11-10,7.683,5.302
1.906,21,WP20,2023-12-07,7.804,5.898
2.526,22,WP20,2024-01-04,7.746,5.220
2.257,19,WP20,2024-02-01,6.853,4.596
2.429,19,WP20,2024-03-07,7.066,4.637
2.199,18,WP20,2024-04-04,7.631,5.432
2.066,18,WP20,2024-05-02,7.060,4.994
2.588,18,WP20,2024-05-30,7.711,5.122
2.110,17,WP20,2024-07-04,7.490,5.380
2.598,17,WP20,2024-09-05,8.209,5.611
