gal_tan_distance_to_afd,afd_support_t,wahlperiode_cat,poll_date,mean_gal_tan_score,afd_mean_gal_tan_score
6.667,12,WP19,2017-10-20,1.000,7.667
4.729,11,WP19,2017-11-20,1.797,6.526
4.319,13,WP19,2017-12-07,2.189,6.509
5.846,13,WP19,2018-01-04,2.188,8.033
6.955,12,WP19,2018-01-26,2.545,9.500
4.925,14,WP19,2018-02-01,2.310,7.234
5.926,15,WP19,2018-02-15,2.164,8.089
5.039,14,WP19,2018-02-23,1.940,6.979
5.042,15,WP19,2018-03-01,1.989,7.031
5.566,13,WP19,2018-03-23,2.859,8.425
4.648,14,WP19,2018-04-05,2.087,6.735
5.385,15,WP19,2018-04-20,1.609,6.995
5.360,15,WP19,2018-05-09,1.931,7.292
5.693,14,WP19,2018-05-18,1.765,7.458
5.221,15,WP19,2018-06-14,2.152,7.373
5.234,14,WP19,2018-06-28,1.822,7.056
5.200,16,WP19,2018-07-05,2.364,7.564
5.624,16,WP19,2018-09-06,2.070,7.694
4.858,18,WP19,2018-09-21,2.273,7.131
4.556,16,WP19,2018-10-11,1.840,6.396
4.344,16,WP19,2018-10-19,2.079,6.423
4.682,14,WP19,2018-11-15,1.776,6.458
7.024,15,WP19,2018-11-30,1.833,8.857
5.116,14,WP19,2018-12-06,1.500,6.616
5.333,13,WP19,2018-12-14,1.593,6.926
4.404,14,WP19,2019-01-10,2.086,6.490
4.398,15,WP19,2019-01-25,2.126,6.523
5.148,13,WP19,2019-02-14,1.873,7.021
4.814,12,WP19,2019-02-22,2.081,6.895
5.107,13,WP19,2019-03-15,1.280,6.387
4.957,12,WP19,2019-03-22,1.943,6.900
4.603,12,WP19,2019-04-04,1.886,6.489
4.681,12,WP19,2019-05-02,1.855,6.536
6.231,13,WP19,2019-05-17,1.813,8.044
5.255,13,WP19,2019-06-06,1.901,7.156
5.246,12,WP19,2019-06-28,1.554,6.800
5.721,15,WP19,2019-09-05,1.867,7.589
5.054,14,WP19,2019-09-20,1.591,6.645
4.754,14,WP19,2019-10-11,1.727,6.481
5.442,14,WP19,2019-10-18,1.844,7.286
4.553,14,WP19,2019-11-07,2.060,6.613
4.781,14,WP19,2019-11-15,1.997,6.778
4.171,15,WP19,2019-12-05,1.403,5.574
4.770,15,WP19,2019-12-13,2.290,7.061
4.320,14,WP19,2020-01-09,1.988,6.308
5.791,14,WP19,2020-01-24,1.828,7.619
3.283,14,WP19,2020-02-06,1.027,4.310
5.024,14,WP19,2020-02-13,1.848,6.872
4.845,12,WP19,2020-03-05,1.682,6.527
3.000,10,WP19,2020-03-20,1.546,4.545
5.299,9,WP19,2020-04-17,1.833,7.133
5.182,9,WP19,2020-05-07,1.713,6.895
5.003,10,WP19,2020-05-15,1.517,6.520
5.775,9,WP19,2020-06-04,1.955,7.730
6.675,10,WP19,2020-06-26,1.310,7.986
4.398,10,WP19,2020-07-02,2.102,6.500
4.886,10,WP19,2020-09-03,1.762,6.648
5.653,10,WP19,2020-09-18,1.565,7.218
5.255,10,WP19,2020-10-01,1.734,6.989
4.716,11,WP19,2020-10-16,2.137,6.853
4.739,10,WP19,2020-11-12,1.817,6.557
6.727,11,WP19,2020-11-27,0.702,7.429
6.097,10,WP19,2020-12-03,1.603,7.701
5.403,9,WP19,2020-12-11,1.829,7.232
4.829,10,WP19,2021-01-07,1.786,6.615
4.097,10,WP19,2021-01-22,1.753,5.851
4.325,10,WP19,2021-02-04,1.648,5.972
4.725,11,WP19,2021-02-19,1.684,6.409
4.703,11,WP19,2021-03-04,1.984,6.687
4.929,11,WP19,2021-03-19,1.602,6.531
5.883,11,WP19,2021-04-01,1.394,7.278
4.417,11,WP19,2021-04-16,1.793,6.209
4.539,12,WP19,2021-05-06,1.969,6.509
5.124,11,WP19,2021-05-14,1.542,6.666
4.830,12,WP19,2021-06-10,2.232,7.062
5.496,12,WP19,2021-06-25,1.326,6.821
5.356,11,WP19,2021-08-20,2.125,7.481
3.526,12,WP19,2021-09-02,2.790,6.317
6.250,11,WP20,2021-09-16,1.500,7.750
5.441,10,WP20,2021-11-04,2.243,7.684
5.806,11,WP20,2021-12-02,2.122,7.929
4.395,11,WP20,2021-12-10,2.432,6.827
5.659,11,WP20,2022-01-06,1.956,7.615
4.919,12,WP20,2022-01-21,2.319,7.238
5.999,12,WP20,2022-02-03,1.696,7.694
5.183,12,WP20,2022-02-18,1.911,7.094
4.557,11,WP20,2022-03-03,1.856,6.413
5.017,11,WP20,2022-03-18,1.719,6.736
5.395,11,WP20,2022-04-07,1.851,7.246
5.974,11,WP20,2022-04-14,1.109,7.083
4.401,11,WP20,2022-04-28,1.801,6.203
5.166,11,WP20,2022-05-13,1.968,7.134
4.907,11,WP20,2022-06-02,1.923,6.830
4.975,12,WP20,2022-06-24,1.803,6.778
5.181,11,WP20,2022-07-07,1.824,7.006
5.112,13,WP20,2022-09-01,2.371,7.483
5.272,14,WP20,2022-09-16,2.134,7.406
5.654,15,WP20,2022-10-06,2.061,7.714
5.591,15,WP20,2022-10-14,2.004,7.595
5.341,14,WP20,2022-11-03,1.932,7.273
6.042,14,WP20,2022-11-11,1.908,7.950
5.234,15,WP20,2022-12-01,2.200,7.434
5.306,15,WP20,2022-12-09,1.783,7.089
5.543,15,WP20,2023-01-05,2.857,8.400
4.963,14,WP20,2023-01-19,1.703,6.666
5.148,15,WP20,2023-02-02,1.914,7.062
6.072,15,WP20,2023-02-17,1.553,7.625
5.155,14,WP20,2023-03-02,2.046,7.201
5.176,15,WP20,2023-03-17,2.126,7.302
5.048,15,WP20,2023-04-14,2.230,7.278
5.431,16,WP20,2023-05-04,2.296,7.727
5.458,16,WP20,2023-05-12,1.852,7.310
5.780,18,WP20,2023-06-01,1.995,7.774
5.722,19,WP20,2023-06-23,2.408,8.130
5.152,20,WP20,2023-07-06,2.200,7.353
5.611,22,WP20,2023-08-31,2.531,8.143
5.220,22,WP20,2023-09-15,2.548,7.768
5.200,22,WP20,2023-09-28,2.420,7.620
4.648,23,WP20,2023-10-13,2.320,6.968
4.870,22,WP20,2023-11-02,2.370,7.240
5.302,21,WP20,2023-11-10,2.381,7.683
5.898,21,WP20,2023-12-07,1.906,7.804
5.220,22,WP20,2024-01-04,2.526,7.746
4.596,19,WP20,2024-02-01,2.257,6.853
4.637,19,WP20,2024-03-07,2.429,7.066
5.432,18,WP20,2024-04-04,2.199,7.631
4.994,18,WP20,2024-05-02,2.066,7.060
5.122,18,WP20,2024-05-30,2.588,7.711
5.380,17,WP20,2024-07-04,2.110,7.490
5.611,17,WP20,2024-09-05,2.598,8.209
4.772,17,WP20,2024-10-10,2.622,7.394
5.757,17,WP20,2024-10-31,2.660,8.417
6.006,18,WP20,2024-11-07,2.425,8.430
5.538,19,WP20,2024-11-21,3.025,8.562
4.982,18,WP20,2024-12-05,2.579,7.560
4.251,19,WP20,2024-12-19,2.946,7.197
3.835,20,WP20,2025-01-09,4.888,8.722
5.777,20,WP20,2025-01-30,2.789,8.566
4.038,21,WP20,2025-02-06,4.262,8.300
3.487,21,WP20,2025-03-06,2.763,6.250
5.457,23,WP21,2025-05-07,2.127,7.583
6.002,23,WP21,2025-06-04,2.017,8.020
5.895,23,WP21,2025-07-03,1.959,7.854
5.663,25,WP21,2025-09-03,2.154,7.817
5.470,26,WP21,2025-10-02,2.317,7.787
5.611,26,WP21,2025-11-06,2.156,7.767
