afd_support_t,afd_proximity_ordinal,party_clean,wahlperiode_cat,afd_support_c,proximity_c,afd_x_proximity,predicted_gal_tan,ci_95_low,ci_95_high
9.000,0.000,cdu/csu,WP19,-5.556,-1.990,11.059,3.076,2.932,3.220
9.172,0.000,cdu/csu,WP19,-5.384,-1.990,10.717,3.076,2.934,3.217
9.343,0.000,cdu/csu,WP19,-5.213,-1.990,10.375,3.076,2.937,3.215
9.515,0.000,cdu/csu,WP19,-5.041,-1.990,10.034,3.076,2.939,3.213
9.687,0.000,cdu/csu,WP19,-4.869,-1.990,9.692,3.076,2.942,3.211
9.859,0.000,cdu/csu,WP19,-4.697,-1.990,9.350,3.076,2.944,3.209
10.030,0.000,cdu/csu,WP19,-4.526,-1.990,9.008,3.077,2.947,3.206
10.202,0.000,cdu/csu,WP19,-4.354,-1.990,8.666,3.077,2.949,3.205
10.374,0.000,cdu/csu,WP19,-4.182,-1.990,8.325,3.077,2.951,3.203
10.545,0.000,cdu/csu,WP19,-4.011,-1.990,7.983,3.077,2.953,3.201
10.717,0.000,cdu/csu,WP19,-3.839,-1.990,7.641,3.077,2.955,3.199
10.889,0.000,cdu/csu,WP19,-3.667,-1.990,7.299,3.077,2.957,3.197
11.061,0.000,cdu/csu,WP19,-3.495,-1.990,6.957,3.077,2.959,3.196
11.232,0.000,cdu/csu,WP19,-3.324,-1.990,6.616,3.078,2.961,3.194
11.404,0.000,cdu/csu,WP19,-3.152,-1.990,6.274,3.078,2.963,3.193
11.576,0.000,cdu/csu,WP19,-2.980,-1.990,5.932,3.078,2.964,3.192
11.747,0.000,cdu/csu,WP19,-2.809,-1.990,5.590,3.078,2.966,3.191
11.919,0.000,cdu/csu,WP19,-2.637,-1.990,5.248,3.078,2.967,3.189
12.091,0.000,cdu/csu,WP19,-2.465,-1.990,4.907,3.078,2.968,3.188
12.263,0.000,cdu/csu,WP19,-2.293,-1.990,4.565,3.079,2.969,3.188
12.434,0.000,cdu/csu,WP19,-2.122,-1.990,4.223,3.079,2.970,3.187
12.606,0.000,cdu/csu,WP19,-1.950,-1.990,3.881,3.079,2.971,3.186
12.778,0.000,cdu/csu,WP19,-1.778,-1.990,3.539,3.079,2.972,3.186
12.949,0.000,cdu/csu,WP19,-1.607,-1.990,3.198,3.079,2.973,3.185
13.121,0.000,cdu/csu,WP19,-1.435,-1.990,2.856,3.079,2.973,3.185
13.293,0.000,cdu/csu,WP19,-1.263,-1.990,2.514,3.079,2.974,3.185
13.465,0.000,cdu/csu,WP19,-1.091,-1.990,2.172,3.080,2.974,3.185
13.636,0.000,cdu/csu,WP19,-0.920,-1.990,1.831,3.080,2.974,3.185
13.808,0.000,cdu/csu,WP19,-0.748,-1.990,1.489,3.080,2.974,3.186
13.980,0.000,cdu/csu,WP19,-0.576,-1.990,1.147,3.080,2.974,3.186
14.152,0.000,cdu/csu,WP19,-0.404,-1.990,0.805,3.080,2.974,3.187
14.323,0.000,cdu/csu,WP19,-0.233,-1.990,0.463,3.080,2.973,3.187
14.495,0.000,cdu/csu,WP19,-0.061,-1.990,0.122,3.081,2.973,3.188
14.667,0.000,cdu/csu,WP19,0.111,-1.990,-0.220,3.081,2.972,3.189
14.838,0.000,cdu/csu,WP19,0.282,-1.990,-0.562,3.081,2.972,3.190
15.010,0.000,cdu/csu,WP19,0.454,-1.990,-0.904,3.081,2.971,3.191
15.182,0.000,cdu/csu,WP19,0.626,-1.990,-1.246,3.081,2.970,3.192
15.354,0.000,cdu/csu,WP19,0.798,-1.990,-1.587,3.081,2.969,3.194
15.525,0.000,cdu/csu,WP19,0.969,-1.990,-1.929,3.081,2.968,3.195
15.697,0.000,cdu/csu,WP19,1.141,-1.990,-2.271,3.082,2.966,3.197
15.869,0.000,cdu/csu,WP19,1.313,-1.990,-2.613,3.082,2.965,3.199
16.040,0.000,cdu/csu,WP19,1.484,-1.990,-2.955,3.082,2.963,3.200
16.212,0.000,cdu/csu,WP19,1.656,-1.990,-3.296,3.082,2.962,3.202
16.384,0.000,cdu/csu,WP19,1.828,-1.990,-3.638,3.082,2.960,3.204
16.556,0.000,cdu/csu,WP19,2.000,-1.990,-3.980,3.082,2.958,3.206
16.727,0.000,cdu/csu,WP19,2.171,-1.990,-4.322,3.082,2.957,3.208
16.899,0.000,cdu/csu,WP19,2.343,-1.990,-4.664,3.083,2.955,3.211
17.071,0.000,cdu/csu,WP19,2.515,-1.990,-5.005,3.083,2.953,3.213
17.242,0.000,cdu/csu,WP19,2.686,-1.990,-5.347,3.083,2.951,3.215
17.414,0.000,cdu/csu,WP19,2.858,-1.990,-5.689,3.083,2.949,3.218
17.586,0.000,cdu/csu,WP19,3.030,-1.990,-6.031,3.083,2.946,3.220
17.758,0.000,cdu/csu,WP19,3.202,-1.990,-6.373,3.083,2.944,3.223
17.929,0.000,cdu/csu,WP19,3.373,-1.990,-6.714,3.084,2.942,3.225
18.101,0.000,cdu/csu,WP19,3.545,-1.990,-7.056,3.084,2.939,3.228
18.273,0.000,cdu/csu,WP19,3.717,-1.990,-7.398,3.084,2.937,3.231
18.444,0.000,cdu/csu,WP19,3.888,-1.990,-7.740,3.084,2.935,3.233
18.616,0.000,cdu/csu,WP19,4.060,-1.990,-8.081,3.084,2.932,3.236
18.788,0.000,cdu/csu,WP19,4.232,-1.990,-8.423,3.084,2.930,3.239
18.960,0.000,cdu/csu,WP19,4.404,-1.990,-8.765,3.084,2.927,3.242
19.131,0.000,cdu/csu,WP19,4.575,-1.990,-9.107,3.085,2.924,3.245
19.303,0.000,cdu/csu,WP19,4.747,-1.990,-9.449,3.085,2.922,3.248
19.475,0.000,cdu/csu,WP19,4.919,-1.990,-9.790,3.085,2.919,3.251
19.646,0.000,cdu/csu,WP19,5.090,-1.990,-10.132,3.085,2.916,3.254
19.818,0.000,cdu/csu,WP19,5.262,-1.990,-10.474,3.085,2.914,3.257
19.990,0.000,cdu/csu,WP19,5.434,-1.990,-10.816,3.085,2.911,3.260
20.162,0.000,cdu/csu,WP19,5.606,-1.990,-11.158,3.086,2.908,3.263
20.333,0.000,cdu/csu,WP19,5.777,-1.990,-11.499,3.086,2.905,3.266
20.505,0.000,cdu/csu,WP19,5.949,-1.990,-11.841,3.086,2.902,3.269
20.677,0.000,cdu/csu,WP19,6.121,-1.990,-12.183,3.086,2.899,3.273
20.848,0.000,cdu/csu,WP19,6.292,-1.990,-12.525,3.086,2.897,3.276
21.020,0.000,cdu/csu,WP19,6.464,-1.990,-12.867,3.086,2.894,3.279
21.192,0.000,cdu/csu,WP19,6.636,-1.990,-13.208,3.086,2.891,3.282
21.364,0.000,cdu/csu,WP19,6.808,-1.990,-13.550,3.087,2.888,3.285
21.535,0.000,cdu/csu,WP19,6.979,-1.990,-13.892,3.087,2.885,3.289
21.707,0.000,cdu/csu,WP19,7.151,-1.990,-14.234,3.087,2.882,3.292
21.879,0.000,cdu/csu,WP19,7.323,-1.990,-14.576,3.087,2.879,3.295
22.051,0.000,cdu/csu,WP19,7.494,-1.990,-14.917,3.087,2.876,3.299
22.222,0.000,cdu/csu,WP19,7.666,-1.990,-15.259,3.087,2.873,3.302
22.394,0.000,cdu/csu,WP19,7.838,-1.990,-15.601,3.087,2.869,3.306
22.566,0.000,cdu/csu,WP19,8.010,-1.990,-15.943,3.088,2.866,3.309
22.737,0.000,cdu/csu,WP19,8.181,-1.990,-16.284,3.088,2.863,3.312
22.909,0.000,cdu/csu,WP19,8.353,-1.990,-16.626,3.088,2.860,3.316
23.081,0.000,cdu/csu,WP19,8.525,-1.990,-16.968,3.088,2.857,3.319
23.253,0.000,cdu/csu,WP19,8.697,-1.990,-17.310,3.088,2.854,3.323
23.424,0.000,cdu/csu,WP19,8.868,-1.990,-17.652,3.088,2.851,3.326
23.596,0.000,cdu/csu,WP19,9.040,-1.990,-17.993,3.089,2.847,3.330
23.768,0.000,cdu/csu,WP19,9.212,-1.990,-18.335,3.089,2.844,3.333
23.939,0.000,cdu/csu,WP19,9.383,-1.990,-18.677,3.089,2.841,3.337
24.111,0.000,cdu/csu,WP19,9.555,-1.990,-19.019,3.089,2.838,3.340
24.283,0.000,cdu/csu,WP19,9.727,-1.990,-19.361,3.089,2.835,3.344
24.455,0.000,cdu/csu,WP19,9.899,-1.990,-19.702,3.089,2.831,3.347
24.626,0.000,cdu/csu,WP19,10.070,-1.990,-20.044,3.089,2.828,3.351
24.798,0.000,cdu/csu,WP19,10.242,-1.990,-20.386,3.090,2.825,3.354
24.970,0.000,cdu/csu,WP19,10.414,-1.990,-20.728,3.090,2.822,3.358
25.141,0.000,cdu/csu,WP19,10.585,-1.990,-21.070,3.090,2.819,3.361
25.313,0.000,cdu/csu,WP19,10.757,-1.990,-21.411,3.090,2.815,3.365
25.485,0.000,cdu/csu,WP19,10.929,-1.990,-21.753,3.090,2.812,3.368
25.657,0.000,cdu/csu,WP19,11.101,-1.990,-22.095,3.090,2.809,3.372
25.828,0.000,cdu/csu,WP19,11.272,-1.990,-22.437,3.091,2.805,3.376
26.000,0.000,cdu/csu,WP19,11.444,-1.990,-22.779,3.091,2.802,3.379
9.000,1.000,cdu/csu,WP19,-5.556,-0.990,5.503,2.900,2.776,3.024
9.172,1.000,cdu/csu,WP19,-5.384,-0.990,5.333,2.905,2.783,3.028
9.343,1.000,cdu/csu,WP19,-5.213,-0.990,5.163,2.911,2.790,3.032
9.515,1.000,cdu/csu,WP19,-5.041,-0.990,4.993,2.917,2.797,3.036
9.687,1.000,cdu/csu,WP19,-4.869,-0.990,4.823,2.922,2.804,3.040
9.859,1.000,cdu/csu,WP19,-4.697,-0.990,4.653,2.928,2.811,3.045
10.030,1.000,cdu/csu,WP19,-4.526,-0.990,4.482,2.933,2.818,3.049
10.202,1.000,cdu/csu,WP19,-4.354,-0.990,4.312,2.939,2.824,3.053
10.374,1.000,cdu/csu,WP19,-4.182,-0.990,4.142,2.944,2.831,3.058
10.545,1.000,cdu/csu,WP19,-4.011,-0.990,3.972,2.950,2.838,3.062
10.717,1.000,cdu/csu,WP19,-3.839,-0.990,3.802,2.956,2.844,3.067
10.889,1.000,cdu/csu,WP19,-3.667,-0.990,3.632,2.961,2.851,3.071
11.061,1.000,cdu/csu,WP19,-3.495,-0.990,3.462,2.967,2.858,3.076
11.232,1.000,cdu/csu,WP19,-3.324,-0.990,3.292,2.972,2.864,3.081
11.404,1.000,cdu/csu,WP19,-3.152,-0.990,3.122,2.978,2.870,3.086
