afd_support_t,afd_proximity_ordinal,party_clean,wahlperiode_cat,afd_support_c,proximity_c,afd_x_proximity,predicted_distance,ci_95_low,ci_95_high
9.000,0.000,cdu/csu,WP19,-5.541,-1.992,11.036,3.674,3.480,3.868
9.172,0.000,cdu/csu,WP19,-5.369,-1.992,10.694,3.682,3.492,3.873
9.343,0.000,cdu/csu,WP19,-5.197,-1.992,10.351,3.690,3.503,3.878
9.515,0.000,cdu/csu,WP19,-5.026,-1.992,10.009,3.698,3.514,3.883
9.687,0.000,cdu/csu,WP19,-4.854,-1.992,9.667,3.706,3.525,3.888
9.859,0.000,cdu/csu,WP19,-4.682,-1.992,9.325,3.714,3.536,3.893
10.030,0.000,cdu/csu,WP19,-4.510,-1.992,8.983,3.723,3.547,3.898
10.202,0.000,cdu/csu,WP19,-4.339,-1.992,8.641,3.731,3.558,3.903
10.374,0.000,cdu/csu,WP19,-4.167,-1.992,8.299,3.739,3.569,3.908
10.545,0.000,cdu/csu,WP19,-3.995,-1.992,7.957,3.747,3.580,3.914
10.717,0.000,cdu/csu,WP19,-3.824,-1.992,7.615,3.755,3.590,3.919
10.889,0.000,cdu/csu,WP19,-3.652,-1.992,7.273,3.763,3.601,3.925
11.061,0.000,cdu/csu,WP19,-3.480,-1.992,6.931,3.771,3.611,3.930
11.232,0.000,cdu/csu,WP19,-3.308,-1.992,6.589,3.779,3.621,3.936
11.404,0.000,cdu/csu,WP19,-3.137,-1.992,6.247,3.787,3.631,3.942
11.576,0.000,cdu/csu,WP19,-2.965,-1.992,5.905,3.795,3.641,3.948
11.747,0.000,cdu/csu,WP19,-2.793,-1.992,5.563,3.803,3.651,3.955
11.919,0.000,cdu/csu,WP19,-2.621,-1.992,5.221,3.811,3.661,3.961
12.091,0.000,cdu/csu,WP19,-2.450,-1.992,4.879,3.819,3.670,3.968
12.263,0.000,cdu/csu,WP19,-2.278,-1.992,4.537,3.827,3.679,3.974
12.434,0.000,cdu/csu,WP19,-2.106,-1.992,4.195,3.835,3.689,3.981
12.606,0.000,cdu/csu,WP19,-1.935,-1.992,3.853,3.843,3.698,3.988
12.778,0.000,cdu/csu,WP19,-1.763,-1.992,3.511,3.851,3.707,3.996
