afd_support_t,electoral_loss,party_clean,wahlperiode_cat,afd_support_c,electoral_loss_c,afd_x_loss,loss_level,predicted_gal_tan,ci_95_low,ci_95_high
9.000,-1.156,cdu/csu,WP19,-5.529,-1.171,6.477,Niedriger Verlust / eher Gewinn,2.723,2.576,2.869
9.172,-1.156,cdu/csu,WP19,-5.357,-1.171,6.275,Niedriger Verlust / eher Gewinn,2.735,2.591,2.880
9.343,-1.156,cdu/csu,WP19,-5.185,-1.171,6.074,Niedriger Verlust / eher Gewinn,2.748,2.606,2.891
9.515,-1.156,cdu/csu,WP19,-5.014,-1.171,5.873,Niedriger Verlust / eher Gewinn,2.761,2.621,2.901
9.687,-1.156,cdu/csu,WP19,-4.842,-1.171,5.672,Niedriger Verlust / eher Gewinn,2.774,2.635,2.912
9.859,-1.156,cdu/csu,WP19,-4.670,-1.171,5.471,Niedriger Verlust / eher Gewinn,2.786,2.650,2.923
10.030,-1.156,cdu/csu,WP19,-4.499,-1.171,5.270,Niedriger Verlust / eher Gewinn,2.799,2.664,2.934
10.202,-1.156,cdu/csu,WP19,-4.327,-1.171,5.069,Niedriger Verlust / eher Gewinn,2.812,2.679,2.945
10.374,-1.156,cdu/csu,WP19,-4.155,-1.171,4.867,Niedriger Verlust / eher Gewinn,2.825,2.693,2.956
10.545,-1.156,cdu/csu,WP19,-3.983,-1.171,4.666,Niedriger Verlust / eher Gewinn,2.837,2.707,2.968
10.717,-1.156,cdu/csu,WP19,-3.812,-1.171,4.465,Niedriger Verlust / eher Gewinn,2.850,2.721,2.979
10.889,-1.156,cdu/csu,WP19,-3.640,-1.171,4.264,Niedriger Verlust / eher Gewinn,2.863,2.736,2.990
11.061,-1.156,cdu/csu,WP19,-3.468,-1.171,4.063,Niedriger Verlust / eher Gewinn,2.876,2.750,3.002
11.232,-1.156,cdu/csu,WP19,-3.297,-1.171,3.862,Niedriger Verlust / eher Gewinn,2.888,2.764,3.013
11.404,-1.156,cdu/csu,WP19,-3.125,-1.171,3.660,Niedriger Verlust / eher Gewinn,2.901,2.777,3.025
11.576,-1.156,cdu/csu,WP19,-2.953,-1.171,3.459,Niedriger Verlust / eher Gewinn,2.914,2.791,3.037
11.747,-1.156,cdu/csu,WP19,-2.781,-1.171,3.258,Niedriger Verlust / eher Gewinn,2.927,2.805,3.049
