afd_support_t,electoral_loss,party_clean,wahlperiode_cat,afd_support_c,electoral_loss_c,afd_x_loss,loss_level,predicted_distance,ci_95_low,ci_95_high
9.000,-1.160,cdu/csu,WP19,-5.513,-1.174,6.473,Niedriger Verlust / eher Gewinn,3.993,3.799,4.186
9.172,-1.160,cdu/csu,WP19,-5.341,-1.174,6.272,Niedriger Verlust / eher Gewinn,3.989,3.799,4.180
9.343,-1.160,cdu/csu,WP19,-5.170,-1.174,6.070,Niedriger Verlust / eher Gewinn,3.986,3.798,4.174
9.515,-1.160,cdu/csu,WP19,-4.998,-1.174,5.868,Niedriger Verlust / eher Gewinn,3.982,3.797,4.168
9.687,-1.160,cdu/csu,WP19,-4.826,-1.174,5.667,Niedriger Verlust / eher Gewinn,3.979,3.796,4.162
9.859,-1.160,cdu/csu,WP19,-4.655,-1.174,5.465,Niedriger Verlust / eher Gewinn,3.975,3.795,4.156
10.030,-1.160,cdu/csu,WP19,-4.483,-1.174,5.264,Niedriger Verlust / eher Gewinn,3.972,3.794,4.150
10.202,-1.160,cdu/csu,WP19,-4.311,-1.174,5.062,Niedriger Verlust / eher Gewinn,3.968,3.792,4.145
10.374,-1.160,cdu/csu,WP19,-4.139,-1.174,4.860,Niedriger Verlust / eher Gewinn,3.965,3.791,4.139
10.545,-1.160,cdu/csu,WP19,-3.968,-1.174,4.659,Niedriger Verlust / eher Gewinn,3.962,3.790,4.134
10.717,-1.160,cdu/csu,WP19,-3.796,-1.174,4.457,Niedriger Verlust / eher Gewinn,3.958,3.788,4.128
10.889,-1.160,cdu/csu,WP19,-3.624,-1.174,4.256,Niedriger Verlust / eher Gewinn,3.955,3.786,4.123
11.061,-1.160,cdu/csu,WP19,-3.453,-1.174,4.054,Niedriger Verlust / eher Gewinn,3.951,3.785,4.118
11.232,-1.160,cdu/csu,WP19,-3.281,-1.174,3.852,Niedriger Verlust / eher Gewinn,3.948,3.783,4.113
11.404,-1.160,cdu/csu,WP19,-3.109,-1.174,3.651,Niedriger Verlust / eher Gewinn,3.944,3.781,4.108
11.576,-1.160,cdu/csu,WP19,-2.937,-1.174,3.449,Niedriger Verlust / eher Gewinn,3.941,3.779,4.103
11.747,-1.160,cdu/csu,WP19,-2.766,-1.174,3.247,Niedriger Verlust / eher Gewinn,3.937,3.776,4.098
11.919,-1.160,cdu/csu,WP19,-2.594,-1.174,3.046,Niedriger Verlust / eher Gewinn,3.934,3.774,4.094
12.091,-1.160,cdu/csu,WP19,-2.422,-1.174,2.844,Niedriger Verlust / eher Gewinn,3.931,3.772,4.090
12.263,-1.160,cdu/csu,WP19,-2.251,-1.174,2.643,Niedriger Verlust / eher Gewinn,3.927,3.769,4.085
12.434,-1.160,cdu/csu,WP19,-2.079,-1.174,2.441,Niedriger Verlust / eher Gewinn,3.924,3.766,4.081
12.606,-1.160,cdu/csu,WP19,-1.907,-1.174,2.239,Niedriger Verlust / eher Gewinn,3.920,3.763,4.077
12.778,-1.160,cdu/csu,WP19,-1.735,-1.174,2.038,Niedriger Verlust / eher Gewinn,3.917,3.760,4.073
12.949,-1.160,cdu/csu,WP19,-1.564,-1.174,1.836,Niedriger Verlust / eher Gewinn,3.913,3.757,4.070
13.121,-1.160,cdu/csu,WP19,-1.392,-1.174,1.634,Niedriger Verlust / eher Gewinn,3.910,3.754,4.066
