afd_support_t,is_opposition,party_clean,wahlperiode_cat,afd_support_c,afd_x_opposition,status,predicted_gal_tan,ci_95_low,ci_95_high
9.000,0,cdu/csu,WP19,-5.556,-0.000,Regierung,2.432,2.294,2.569
9.172,0,cdu/csu,WP19,-5.384,-0.000,Regierung,2.443,2.307,2.580
9.343,0,cdu/csu,WP19,-5.213,-0.000,Regierung,2.455,2.320,2.590
9.515,0,cdu/csu,WP19,-5.041,-0.000,Regierung,2.467,2.334,2.600
9.687,0,cdu/csu,WP19,-4.869,-0.000,Regierung,2.479,2.347,2.610
9.859,0,cdu/csu,WP19,-4.697,-0.000,Regierung,2.490,2.360,2.621
10.030,0,cdu/csu,WP19,-4.526,-0.000,Regierung,2.502,2.373,2.631
10.202,0,cdu/csu,WP19,-4.354,-0.000,Regierung,2.514,2.386,2.642
10.374,0,cdu/csu,WP19,-4.182,-0.000,Regierung,2.526,2.399,2.652
10.545,0,cdu/csu,WP19,-4.011,-0.000,Regierung,2.537,2.412,2.663
10.717,0,cdu/csu,WP19,-3.839,-0.000,Regierung,2.549,2.424,2.674
10.889,0,cdu/csu,WP19,-3.667,-0.000,Regierung,2.561,2.437,2.685
11.061,0,cdu/csu,WP19,-3.495,-0.000,Regierung,2.573,2.450,2.696
11.232,0,cdu/csu,WP19,-3.324,-0.000,Regierung,2.584,2.462,2.706
11.404,0,cdu/csu,WP19,-3.152,-0.000,Regierung,2.596,2.475,2.717
11.576,0,cdu/csu,WP19,-2.980,-0.000,Regierung,2.608,2.487,2.729
11.747,0,cdu/csu,WP19,-2.809,-0.000,Regierung,2.620,2.500,2.740
11.919,0,cdu/csu,WP19,-2.637,-0.000,Regierung,2.631,2.512,2.751
12.091,0,cdu/csu,WP19,-2.465,-0.000,Regierung,2.643,2.524,2.762
12.263,0,cdu/csu,WP19,-2.293,-0.000,Regierung,2.655,2.536,2.774
12.434,0,cdu/csu,WP19,-2.122,-0.000,Regierung,2.667,2.548,2.785
12.606,0,cdu/csu,WP19,-1.950,-0.000,Regierung,2.678,2.560,2.797
12.778,0,cdu/csu,WP19,-1.778,-0.000,Regierung,2.690,2.572,2.808
12.949,0,cdu/csu,WP19,-1.607,-0.000,Regierung,2.702,2.584,2.820
13.121,0,cdu/csu,WP19,-1.435,-0.000,Regierung,2.714,2.596,2.832
13.293,0,cdu/csu,WP19,-1.263,-0.000,Regierung,2.726,2.607,2.844
13.465,0,cdu/csu,WP19,-1.091,-0.000,Regierung,2.737,2.619,2.856
13.636,0,cdu/csu,WP19,-0.920,-0.000,Regierung,2.749,2.631,2.868
13.808,0,cdu/csu,WP19,-0.748,-0.000,Regierung,2.761,2.642,2.880
13.980,0,cdu/csu,WP19,-0.576,-0.000,Regierung,2.773,2.653,2.892
14.152,0,cdu/csu,WP19,-0.404,-0.000,Regierung,2.784,2.665,2.904
14.323,0,cdu/csu,WP19,-0.233,-0.000,Regierung,2.796,2.676,2.916
14.495,0,cdu/csu,WP19,-0.061,-0.000,Regierung,2.808,2.687,2.929
14.667,0,cdu/csu,WP19,0.111,0.000,Regierung,2.820,2.698,2.941
14.838,0,cdu/csu,WP19,0.282,0.000,Regierung,2.831,2.709,2.954
15.010,0,cdu/csu,WP19,0.454,0.000,Regierung,2.843,2.720,2.966
15.182,0,cdu/csu,WP19,0.626,0.000,Regierung,2.855,2.731,2.979
15.354,0,cdu/csu,WP19,0.798,0.000,Regierung,2.867,2.741,2.992
15.525,0,cdu/csu,WP19,0.969,0.000,Regierung,2.878,2.752,3.005
15.697,0,cdu/csu,WP19,1.141,0.000,Regierung,2.890,2.763,3.017
15.869,0,cdu/csu,WP19,1.313,0.000,Regierung,2.902,2.773,3.030
16.040,0,cdu/csu,WP19,1.484,0.000,Regierung,2.914,2.784,3.043
16.212,0,cdu/csu,WP19,1.656,0.000,Regierung,2.925,2.794,3.056
16.384,0,cdu/csu,WP19,1.828,0.000,Regierung,2.937,2.805,3.070
16.556,0,cdu/csu,WP19,2.000,0.000,Regierung,2.949,2.815,3.083
16.727,0,cdu/csu,WP19,2.171,0.000,Regierung,2.961,2.825,3.096
16.899,0,cdu/csu,WP19,2.343,0.000,Regierung,2.972,2.836,3.109
17.071,0,cdu/csu,WP19,2.515,0.000,Regierung,2.984,2.846,3.123
17.242,0,cdu/csu,WP19,2.686,0.000,Regierung,2.996,2.856,3.136
17.414,0,cdu/csu,WP19,2.858,0.000,Regierung,3.008,2.866,3.149
17.586,0,cdu/csu,WP19,3.030,0.000,Regierung,3.019,2.876,3.163
17.758,0,cdu/csu,WP19,3.202,0.000,Regierung,3.031,2.886,3.176
17.929,0,cdu/csu,WP19,3.373,0.000,Regierung,3.043,2.896,3.190
18.101,0,cdu/csu,WP19,3.545,0.000,Regierung,3.055,2.906,3.203
18.273,0,cdu/csu,WP19,3.717,0.000,Regierung,3.066,2.916,3.217
18.444,0,cdu/csu,WP19,3.888,0.000,Regierung,3.078,2.926,3.231
18.616,0,cdu/csu,WP19,4.060,0.000,Regierung,3.090,2.936,3.244
18.788,0,cdu/csu,WP19,4.232,0.000,Regierung,3.102,2.945,3.258
18.960,0,cdu/csu,WP19,4.404,0.000,Regierung,3.113,2.955,3.272
19.131,0,cdu/csu,WP19,4.575,0.000,Regierung,3.125,2.965,3.286
19.303,0,cdu/csu,WP19,4.747,0.000,Regierung,3.137,2.974,3.300
19.475,0,cdu/csu,WP19,4.919,0.000,Regierung,3.149,2.984,3.314
19.646,0,cdu/csu,WP19,5.090,0.000,Regierung,3.161,2.994,3.327
19.818,0,cdu/csu,WP19,5.262,0.000,Regierung,3.172,3.003,3.341
19.990,0,cdu/csu,WP19,5.434,0.000,Regierung,3.184,3.013,3.355
20.162,0,cdu/csu,WP19,5.606,0.000,Regierung,3.196,3.022,3.369
20.333,0,cdu/csu,WP19,5.777,0.000,Regierung,3.208,3.032,3.383
20.505,0,cdu/csu,WP19,5.949,0.000,Regierung,3.219,3.041,3.397
20.677,0,cdu/csu,WP19,6.121,0.000,Regierung,3.231,3.051,3.411
20.848,0,cdu/csu,WP19,6.292,0.000,Regierung,3.243,3.060,3.425
21.020,0,cdu/csu,WP19,6.464,0.000,Regierung,3.255,3.070,3.440
21.192,0,cdu/csu,WP19,6.636,0.000,Regierung,3.266,3.079,3.454
21.364,0,cdu/csu,WP19,6.808,0.000,Regierung,3.278,3.088,3.468
21.535,0,cdu/csu,WP19,6.979,0.000,Regierung,3.290,3.098,3.482
21.707,0,cdu/csu,WP19,7.151,0.000,Regierung,3.302,3.107,3.496
21.879,0,cdu/csu,WP19,7.323,0.000,Regierung,3.313,3.116,3.510
22.051,0,cdu/csu,WP19,7.494,0.000,Regierung,3.325,3.126,3.525
22.222,0,cdu/csu,WP19,7.666,0.000,Regierung,3.337,3.135,3.539
22.394,0,cdu/csu,WP19,7.838,0.000,Regierung,3.349,3.144,3.553
22.566,0,cdu/csu,WP19,8.010,0.000,Regierung,3.360,3.154,3.567
22.737,0,cdu/csu,WP19,8.181,0.000,Regierung,3.372,3.163,3.582
22.909,0,cdu/csu,WP19,8.353,0.000,Regierung,3.384,3.172,3.596
23.081,0,cdu/csu,WP19,8.525,0.000,Regierung,3.396,3.181,3.610
23.253,0,cdu/csu,WP19,8.697,0.000,Regierung,3.407,3.190,3.624
23.424,0,cdu/csu,WP19,8.868,0.000,Regierung,3.419,3.200,3.639
23.596,0,cdu/csu,WP19,9.040,0.000,Regierung,3.431,3.209,3.653
23.768,0,cdu/csu,WP19,9.212,0.000,Regierung,3.443,3.218,3.667
23.939,0,cdu/csu,WP19,9.383,0.000,Regierung,3.454,3.227,3.682
24.111,0,cdu/csu,WP19,9.555,0.000,Regierung,3.466,3.236,3.696
24.283,0,cdu/csu,WP19,9.727,0.000,Regierung,3.478,3.245,3.711
24.455,0,cdu/csu,WP19,9.899,0.000,Regierung,3.490,3.255,3.725
24.626,0,cdu/csu,WP19,10.070,0.000,Regierung,3.501,3.264,3.739
24.798,0,cdu/csu,WP19,10.242,0.000,Regierung,3.513,3.273,3.754
24.970,0,cdu/csu,WP19,10.414,0.000,Regierung,3.525,3.282,3.768
25.141,0,cdu/csu,WP19,10.585,0.000,Regierung,3.537,3.291,3.783
25.313,0,cdu/csu,WP19,10.757,0.000,Regierung,3.549,3.300,3.797
25.485,0,cdu/csu,WP19,10.929,0.000,Regierung,3.560,3.309,3.811
25.657,0,cdu/csu,WP19,11.101,0.000,Regierung,3.572,3.318,3.826
25.828,0,cdu/csu,WP19,11.272,0.000,Regierung,3.584,3.327,3.840
26.000,0,cdu/csu,WP19,11.444,0.000,Regierung,3.596,3.336,3.855
9.000,1,cdu/csu,WP19,-5.556,-5.556,Opposition,3.033,2.882,3.183
9.172,1,cdu/csu,WP19,-5.384,-5.384,Opposition,3.043,2.895,3.192
9.343,1,cdu/csu,WP19,-5.213,-5.213,Opposition,3.054,2.907,3.200
9.515,1,cdu/csu,WP19,-5.041,-5.041,Opposition,3.064,2.919,3.209
9.687,1,cdu/csu,WP19,-4.869,-4.869,Opposition,3.075,2.932,3.218
9.859,1,cdu/csu,WP19,-4.697,-4.697,Opposition,3.085,2.944,3.226
10.030,1,cdu/csu,WP19,-4.526,-4.526,Opposition,3.095,2.956,3.235
10.202,1,cdu/csu,WP19,-4.354,-4.354,Opposition,3.106,2.968,3.244
10.374,1,cdu/csu,WP19,-4.182,-4.182,Opposition,3.116,2.980,3.253
10.545,1,cdu/csu,WP19,-4.011,-4.011,Opposition,3.127,2.992,3.262
10.717,1,cdu/csu,WP19,-3.839,-3.839,Opposition,3.137,3.004,3.270
10.889,1,cdu/csu,WP19,-3.667,-3.667,Opposition,3.148,3.016,3.280
11.061,1,cdu/csu,WP19,-3.495,-3.495,Opposition,3.158,3.028,3.289
11.232,1,cdu/csu,WP19,-3.324,-3.324,Opposition,3.169,3.039,3.298
11.404,1,cdu/csu,WP19,-3.152,-3.152,Opposition,3.179,3.051,3.307
11.576,1,cdu/csu,WP19,-2.980,-2.980,Opposition,3.189,3.063,3.316
11.747,1,cdu/csu,WP19,-2.809,-2.809,Opposition,3.200,3.074,3.326
11.919,1,cdu/csu,WP19,-2.637,-2.637,Opposition,3.210,3.085,3.335
12.091,1,cdu/csu,WP19,-2.465,-2.465,Opposition,3.221,3.097,3.345
