afd_support_t,is_opposition,party_clean,wahlperiode_cat,afd_support_c,afd_x_opposition,status,predicted_distance,ci_95_low,ci_95_high
9.000,0,cdu/csu,WP19,-5.541,-0.000,Regierung,4.299,4.111,4.486
9.172,0,cdu/csu,WP19,-5.369,-0.000,Regierung,4.296,4.110,4.481
9.343,0,cdu/csu,WP19,-5.197,-0.000,Regierung,4.293,4.109,4.477
9.515,0,cdu/csu,WP19,-5.026,-0.000,Regierung,4.290,4.109,4.472
9.687,0,cdu/csu,WP19,-4.854,-0.000,Regierung,4.287,4.108,4.467
9.859,0,cdu/csu,WP19,-4.682,-0.000,Regierung,4.285,4.107,4.463
10.030,0,cdu/csu,WP19,-4.510,-0.000,Regierung,4.282,4.106,4.458
10.202,0,cdu/csu,WP19,-4.339,-0.000,Regierung,4.279,4.105,4.454
10.374,0,cdu/csu,WP19,-4.167,-0.000,Regierung,4.276,4.103,4.449
10.545,0,cdu/csu,WP19,-3.995,-0.000,Regierung,4.274,4.102,4.445
10.717,0,cdu/csu,WP19,-3.824,-0.000,Regierung,4.271,4.101,4.441
10.889,0,cdu/csu,WP19,-3.652,-0.000,Regierung,4.268,4.099,4.437
11.061,0,cdu/csu,WP19,-3.480,-0.000,Regierung,4.265,4.098,4.433
11.232,0,cdu/csu,WP19,-3.308,-0.000,Regierung,4.262,4.096,4.429
11.404,0,cdu/csu,WP19,-3.137,-0.000,Regierung,4.260,4.094,4.425
11.576,0,cdu/csu,WP19,-2.965,-0.000,Regierung,4.257,4.092,4.421
11.747,0,cdu/csu,WP19,-2.793,-0.000,Regierung,4.254,4.090,4.418
11.919,0,cdu/csu,WP19,-2.621,-0.000,Regierung,4.251,4.088,4.414
12.091,0,cdu/csu,WP19,-2.450,-0.000,Regierung,4.249,4.086,4.411
12.263,0,cdu/csu,WP19,-2.278,-0.000,Regierung,4.246,4.084,4.408
12.434,0,cdu/csu,WP19,-2.106,-0.000,Regierung,4.243,4.082,4.405
12.606,0,cdu/csu,WP19,-1.935,-0.000,Regierung,4.240,4.079,4.401
12.778,0,cdu/csu,WP19,-1.763,-0.000,Regierung,4.238,4.077,4.399
12.949,0,cdu/csu,WP19,-1.591,-0.000,Regierung,4.235,4.074,4.396
13.121,0,cdu/csu,WP19,-1.419,-0.000,Regierung,4.232,4.071,4.393
13.293,0,cdu/csu,WP19,-1.248,-0.000,Regierung,4.229,4.068,4.390
13.465,0,cdu/csu,WP19,-1.076,-0.000,Regierung,4.226,4.065,4.388
13.636,0,cdu/csu,WP19,-0.904,-0.000,Regierung,4.224,4.062,4.385
13.808,0,cdu/csu,WP19,-0.733,-0.000,Regierung,4.221,4.059,4.383
13.980,0,cdu/csu,WP19,-0.561,-0.000,Regierung,4.218,4.055,4.381
14.152,0,cdu/csu,WP19,-0.389,-0.000,Regierung,4.215,4.052,4.379
14.323,0,cdu/csu,WP19,-0.217,-0.000,Regierung,4.213,4.048,4.377
