poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,cluster_id
1,2017-10-20,2017-11-09,12,cdu/csu,31.0,32.0,-1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0,0,0,0,0,1,0,656.0,True,False,4.0,CDU/CSU,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Regierung,1.0,0.0,19.0,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.6666666666666667,5.0,,2.0,2.0,1.0,,,,,,0
1,2017-10-20,2017-11-09,12,fdp,12.0,11.0,1.0,1.0,0.3333333333333333,1.0,,0.0,1.0,0.0,,,,,,0,0,0,0,0,1,0,479.0,True,False,3.0,FDP,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Opposition,0.0,1.0,19.0,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.3333333333333337,4.0,,2.0,1.0,1.0,,,,,,1
1,2017-10-20,2017-11-09,12,grüne,11.0,10.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0,0,0,0,0,2,0,894.0,True,False,1.0,Bündnis 90/Die Grünen,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Opposition,0.0,1.0,19.0,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.6666666666666667,5.0,,2.0,2.0,1.0,,,,,,2
1,2017-10-20,2017-11-09,12,linke,9.0,10.0,-1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,,,2.0,0.0,0,0,0,1,1,1,1,646.0,True,False,0.0,Die Linke,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,1,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,,,,1.0,1.0,Opposition,0.0,1.0,19.0,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.3333333333333337,4.0,6.666666666666667,1.0,2.0,1.0,,,,5.0,8.0,3
1,2017-10-20,2017-11-09,12,spd,21.0,20.0,1.0,1.0,0.6666666666666666,2.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,1,0,559.0,True,False,2.0,SPD,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Regierung,1.0,0.0,19.0,WP19,2017,10,20,1.6666666666666667,5.0,7.666666666666667,2.0,2.0,1.0,,8.0,,7.0,8.0,1,1,0,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,4
4,2017-11-20,2017-12-07,11,cdu/csu,32.0,31.0,1.0,1.0,0.0701754385964912,0.2105263157894736,2.074712643678161,0.0263157894736842,0.1578947368421052,0.0263157894736842,2.7142857142857144,3.25,,1.0,1.7037037037037035,7,12,0,2,27,38,29,694.7631578947369,True,False,4.0,CDU/CSU,0.1842105263157894,0.3157894736842105,0.0,0.0526315789473684,0.7105263157894737,116,17,35,0,10,83,0.0603448275862069,0.1034482758620689,0.0,0.0172413793103448,0.2327586206896551,0.4117647058823529,0.3428571428571428,,0.2,0.3253012048192771,Regierung,1.0,0.0,19.0,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.6131578947368421,1.839473684210526,4.451603145795524,0.6736842105263158,0.8921052631578947,0.2736842105263157,6.535714285714286,3.8928571428571432,,3.5,5.033138401559453,0
4,2017-11-20,2017-12-07,11,fdp,10.0,11.0,-1.0,1.0,0.1111111111111111,0.3333333333333333,2.0357142857142856,0.0555555555555555,0.2777777777777778,0.0,7.0,1.7142857142857142,,2.0,1.8461538461538465,1,7,0,1,13,18,14,579.8888888888889,True,False,3.0,FDP,0.0555555555555555,0.3888888888888889,0.0,0.0555555555555555,0.7222222222222222,116,17,35,0,10,83,0.0086206896551724,0.0603448275862069,0.0,0.0086206896551724,0.1120689655172413,0.0588235294117647,0.2,,0.1,0.1566265060240964,Opposition,0.0,1.0,19.0,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.5722222222222222,1.7166666666666666,4.490601503759399,0.6444444444444444,0.7722222222222223,0.3,2.25,5.428571428571429,,2.5,4.890688259109311,1
4,2017-11-20,2017-12-07,11,grüne,11.0,11.0,0.0,0.0,0.1851851851851851,0.5555555555555556,1.1666666666666667,0.1666666666666666,0.3888888888888889,0.0,1.25,1.6666666666666667,,2.0,0.8571428571428571,4,3,0,2,14,18,15,614.1111111111111,True,False,1.0,Bündnis 90/Die Grünen,0.2222222222222222,0.1666666666666666,0.0,0.1111111111111111,0.7777777777777778,116,17,35,0,10,83,0.0344827586206896,0.0258620689655172,0.0,0.0172413793103448,0.1206896551724138,0.2352941176470588,0.0857142857142857,,0.2,0.1686746987951807,Opposition,0.0,1.0,19.0,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.4981481481481482,1.4944444444444442,5.359649122807017,0.5333333333333333,0.6611111111111112,0.3,8.0,5.476190476190476,,2.5,5.879699248120301,2
4,2017-11-20,2017-12-07,11,linke,10.0,10.0,0.0,0.0,0.5185185185185185,1.5555555555555556,1.9038461538461535,0.3888888888888889,0.9444444444444444,0.2222222222222222,0.0,3.2857142857142856,,1.5,1.4615384615384617,2,7,0,4,13,18,13,581.2777777777778,True,False,0.0,Die Linke,0.1111111111111111,0.3888888888888889,0.0,0.2222222222222222,0.7222222222222222,116,17,35,0,10,83,0.0172413793103448,0.0603448275862069,0.0,0.0344827586206896,0.1120689655172413,0.1176470588235294,0.2,,0.4,0.1566265060240964,Opposition,0.0,1.0,19.0,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.1648148148148148,0.4944444444444442,4.62246963562753,0.311111111111111,0.1055555555555556,0.0777777777777777,9.25,3.8571428571428577,,3.0,5.275303643724696,3
4,2017-11-20,2017-12-07,11,spd,22.0,21.0,1.0,1.0,0.2222222222222222,0.6666666666666666,1.6111111111111112,0.25,0.4166666666666667,0.0,1.6666666666666667,2.6666666666666665,,1.0,1.5625,3,6,0,1,16,24,18,720.25,True,False,2.0,SPD,0.125,0.25,0.0,0.0416666666666666,0.6666666666666666,116,17,35,0,10,83,0.0258620689655172,0.0517241379310344,0.0,0.0086206896551724,0.1379310344827586,0.1764705882352941,0.1714285714285714,,0.1,0.1927710843373494,Regierung,1.0,0.0,19.0,WP19,2017,11,17,0.6833333333333333,2.05,6.526315789473684,0.7,1.05,0.3,9.25,7.142857142857143,8.0,4.5,6.7368421052631575,20,19,4,7,1,4,19,0.2,0.35,0.05,0.2,0.95,0.4611111111111111,1.3833333333333333,4.9152046783625725,0.4499999999999999,0.6333333333333333,0.3,7.583333333333333,4.476190476190476,,3.5,5.1743421052631575,4
