afd_support_t,afd_proximity_ordinal,party_clean,wahlperiode_cat,afd_support_c,proximity_c,afd_x_proximity,predicted_populism,ci_95_low,ci_95_high
9.000,0.000,cdu/csu,WP19,-5.563,-1.993,11.088,0.155,0.124,0.186
9.172,0.000,cdu/csu,WP19,-5.391,-1.993,10.746,0.157,0.126,0.187
9.343,0.000,cdu/csu,WP19,-5.219,-1.993,10.404,0.159,0.129,0.189
9.515,0.000,cdu/csu,WP19,-5.048,-1.993,10.061,0.161,0.132,0.190
9.687,0.000,cdu/csu,WP19,-4.876,-1.993,9.719,0.163,0.134,0.192
9.859,0.000,cdu/csu,WP19,-4.704,-1.993,9.377,0.165,0.137,0.193
10.030,0.000,cdu/csu,WP19,-4.533,-1.993,9.035,0.167,0.139,0.195
10.202,0.000,cdu/csu,WP19,-4.361,-1.993,8.692,0.169,0.142,0.197
10.374,0.000,cdu/csu,WP19,-4.189,-1.993,8.350,0.171,0.144,0.198
10.545,0.000,cdu/csu,WP19,-4.017,-1.993,8.008,0.173,0.147,0.200
10.717,0.000,cdu/csu,WP19,-3.846,-1.993,7.665,0.176,0.149,0.202
10.889,0.000,cdu/csu,WP19,-3.674,-1.993,7.323,0.178,0.152,0.203
11.061,0.000,cdu/csu,WP19,-3.502,-1.993,6.981,0.180,0.154,0.205
11.232,0.000,cdu/csu,WP19,-3.331,-1.993,6.639,0.182,0.157,0.207
11.404,0.000,cdu/csu,WP19,-3.159,-1.993,6.296,0.184,0.159,0.209
11.576,0.000,cdu/csu,WP19,-2.987,-1.993,5.954,0.186,0.162,0.211
11.747,0.000,cdu/csu,WP19,-2.815,-1.993,5.612,0.188,0.164,0.212
11.919,0.000,cdu/csu,WP19,-2.644,-1.993,5.270,0.190,0.166,0.214
12.091,0.000,cdu/csu,WP19,-2.472,-1.993,4.927,0.192,0.169,0.216
12.263,0.000,cdu/csu,WP19,-2.300,-1.993,4.585,0.194,0.171,0.218
12.434,0.000,cdu/csu,WP19,-2.129,-1.993,4.243,0.197,0.173,0.220
12.606,0.000,cdu/csu,WP19,-1.957,-1.993,3.900,0.199,0.175,0.222
12.778,0.000,cdu/csu,WP19,-1.785,-1.993,3.558,0.201,0.178,0.224
12.949,0.000,cdu/csu,WP19,-1.613,-1.993,3.216,0.203,0.180,0.226
13.121,0.000,cdu/csu,WP19,-1.442,-1.993,2.874,0.205,0.182,0.228
13.293,0.000,cdu/csu,WP19,-1.270,-1.993,2.531,0.207,0.184,0.230
13.465,0.000,cdu/csu,WP19,-1.098,-1.993,2.189,0.209,0.186,0.232
13.636,0.000,cdu/csu,WP19,-0.927,-1.993,1.847,0.211,0.188,0.234
13.808,0.000,cdu/csu,WP19,-0.755,-1.993,1.505,0.213,0.190,0.236
13.980,0.000,cdu/csu,WP19,-0.583,-1.993,1.162,0.215,0.192,0.238
14.152,0.000,cdu/csu,WP19,-0.411,-1.993,0.820,0.217,0.194,0.240
14.323,0.000,cdu/csu,WP19,-0.240,-1.993,0.478,0.220,0.196,0.243
14.495,0.000,cdu/csu,WP19,-0.068,-1.993,0.135,0.222,0.198,0.245
14.667,0.000,cdu/csu,WP19,0.104,-1.993,-0.207,0.224,0.200,0.247
14.838,0.000,cdu/csu,WP19,0.275,-1.993,-0.549,0.226,0.202,0.249
15.010,0.000,cdu/csu,WP19,0.447,-1.993,-0.891,0.228,0.204,0.252
15.182,0.000,cdu/csu,WP19,0.619,-1.993,-1.234,0.230,0.206,0.254
15.354,0.000,cdu/csu,WP19,0.791,-1.993,-1.576,0.232,0.208,0.256
15.525,0.000,cdu/csu,WP19,0.962,-1.993,-1.918,0.234,0.210,0.259
15.697,0.000,cdu/csu,WP19,1.134,-1.993,-2.260,0.236,0.211,0.261
15.869,0.000,cdu/csu,WP19,1.306,-1.993,-2.603,0.238,0.213,0.264
16.040,0.000,cdu/csu,WP19,1.477,-1.993,-2.945,0.240,0.215,0.266
16.212,0.000,cdu/csu,WP19,1.649,-1.993,-3.287,0.243,0.217,0.269
16.384,0.000,cdu/csu,WP19,1.821,-1.993,-3.630,0.245,0.218,0.271
16.556,0.000,cdu/csu,WP19,1.993,-1.993,-3.972,0.247,0.220,0.274
16.727,0.000,cdu/csu,WP19,2.164,-1.993,-4.314,0.249,0.222,0.276
16.899,0.000,cdu/csu,WP19,2.336,-1.993,-4.656,0.251,0.223,0.279
17.071,0.000,cdu/csu,WP19,2.508,-1.993,-4.999,0.253,0.225,0.281
17.242,0.000,cdu/csu,WP19,2.680,-1.993,-5.341,0.255,0.227,0.284
17.414,0.000,cdu/csu,WP19,2.851,-1.993,-5.683,0.257,0.228,0.286
17.586,0.000,cdu/csu,WP19,3.023,-1.993,-6.025,0.259,0.230,0.289
17.758,0.000,cdu/csu,WP19,3.195,-1.993,-6.368,0.261,0.231,0.292
17.929,0.000,cdu/csu,WP19,3.366,-1.993,-6.710,0.263,0.233,0.294
18.101,0.000,cdu/csu,WP19,3.538,-1.993,-7.052,0.266,0.234,0.297
18.273,0.000,cdu/csu,WP19,3.710,-1.993,-7.395,0.268,0.236,0.299
18.444,0.000,cdu/csu,WP19,3.882,-1.993,-7.737,0.270,0.237,0.302
18.616,0.000,cdu/csu,WP19,4.053,-1.993,-8.079,0.272,0.239,0.305
18.788,0.000,cdu/csu,WP19,4.225,-1.993,-8.421,0.274,0.241,0.307
18.960,0.000,cdu/csu,WP19,4.397,-1.993,-8.764,0.276,0.242,0.310
19.131,0.000,cdu/csu,WP19,4.568,-1.993,-9.106,0.278,0.244,0.313
19.303,0.000,cdu/csu,WP19,4.740,-1.993,-9.448,0.280,0.245,0.315
19.475,0.000,cdu/csu,WP19,4.912,-1.993,-9.790,0.282,0.247,0.318
19.646,0.000,cdu/csu,WP19,5.084,-1.993,-10.133,0.284,0.248,0.321
19.818,0.000,cdu/csu,WP19,5.255,-1.993,-10.475,0.287,0.249,0.324
19.990,0.000,cdu/csu,WP19,5.427,-1.993,-10.817,0.289,0.251,0.326
20.162,0.000,cdu/csu,WP19,5.599,-1.993,-11.160,0.291,0.252,0.329
20.333,0.000,cdu/csu,WP19,5.770,-1.993,-11.502,0.293,0.254,0.332
20.505,0.000,cdu/csu,WP19,5.942,-1.993,-11.844,0.295,0.255,0.335
20.677,0.000,cdu/csu,WP19,6.114,-1.993,-12.186,0.297,0.257,0.337
20.848,0.000,cdu/csu,WP19,6.286,-1.993,-12.529,0.299,0.258,0.340
21.020,0.000,cdu/csu,WP19,6.457,-1.993,-12.871,0.301,0.260,0.343
21.192,0.000,cdu/csu,WP19,6.629,-1.993,-13.213,0.303,0.261,0.346
21.364,0.000,cdu/csu,WP19,6.801,-1.993,-13.555,0.305,0.262,0.348
21.535,0.000,cdu/csu,WP19,6.972,-1.993,-13.898,0.307,0.264,0.351
21.707,0.000,cdu/csu,WP19,7.144,-1.993,-14.240,0.310,0.265,0.354
21.879,0.000,cdu/csu,WP19,7.316,-1.993,-14.582,0.312,0.267,0.357
22.051,0.000,cdu/csu,WP19,7.488,-1.993,-14.925,0.314,0.268,0.359
22.222,0.000,cdu/csu,WP19,7.659,-1.993,-15.267,0.316,0.269,0.362
22.394,0.000,cdu/csu,WP19,7.831,-1.993,-15.609,0.318,0.271,0.365
22.566,0.000,cdu/csu,WP19,8.003,-1.993,-15.951,0.320,0.272,0.368
22.737,0.000,cdu/csu,WP19,8.174,-1.993,-16.294,0.322,0.274,0.371
22.909,0.000,cdu/csu,WP19,8.346,-1.993,-16.636,0.324,0.275,0.373
23.081,0.000,cdu/csu,WP19,8.518,-1.993,-16.978,0.326,0.276,0.376
23.253,0.000,cdu/csu,WP19,8.690,-1.993,-17.320,0.328,0.278,0.379
23.424,0.000,cdu/csu,WP19,8.861,-1.993,-17.663,0.330,0.279,0.382
23.596,0.000,cdu/csu,WP19,9.033,-1.993,-18.005,0.333,0.281,0.385
23.768,0.000,cdu/csu,WP19,9.205,-1.993,-18.347,0.335,0.282,0.387
23.939,0.000,cdu/csu,WP19,9.376,-1.993,-18.690,0.337,0.283,0.390
24.111,0.000,cdu/csu,WP19,9.548,-1.993,-19.032,0.339,0.285,0.393
24.283,0.000,cdu/csu,WP19,9.720,-1.993,-19.374,0.341,0.286,0.396
24.455,0.000,cdu/csu,WP19,9.892,-1.993,-19.716,0.343,0.287,0.399
24.626,0.000,cdu/csu,WP19,10.063,-1.993,-20.059,0.345,0.289,0.402
24.798,0.000,cdu/csu,WP19,10.235,-1.993,-20.401,0.347,0.290,0.404
24.970,0.000,cdu/csu,WP19,10.407,-1.993,-20.743,0.349,0.292,0.407
25.141,0.000,cdu/csu,WP19,10.578,-1.993,-21.085,0.351,0.293,0.410
25.313,0.000,cdu/csu,WP19,10.750,-1.993,-21.428,0.354,0.294,0.413
25.485,0.000,cdu/csu,WP19,10.922,-1.993,-21.770,0.356,0.296,0.416
25.657,0.000,cdu/csu,WP19,11.094,-1.993,-22.112,0.358,0.297,0.418
25.828,0.000,cdu/csu,WP19,11.265,-1.993,-22.454,0.360,0.298,0.421
26.000,0.000,cdu/csu,WP19,11.437,-1.993,-22.797,0.362,0.300,0.424
9.000,1.000,cdu/csu,WP19,-5.563,-0.993,5.525,0.152,0.125,0.179
9.172,1.000,cdu/csu,WP19,-5.391,-0.993,5.355,0.154,0.128,0.181
9.343,1.000,cdu/csu,WP19,-5.219,-0.993,5.184,0.156,0.130,0.182
9.515,1.000,cdu/csu,WP19,-5.048,-0.993,5.014,0.158,0.133,0.184
9.687,1.000,cdu/csu,WP19,-4.876,-0.993,4.843,0.161,0.135,0.186
9.859,1.000,cdu/csu,WP19,-4.704,-0.993,4.673,0.163,0.138,0.188
10.030,1.000,cdu/csu,WP19,-4.533,-0.993,4.502,0.165,0.140,0.190
10.202,1.000,cdu/csu,WP19,-4.361,-0.993,4.331,0.167,0.142,0.192
10.374,1.000,cdu/csu,WP19,-4.189,-0.993,4.161,0.169,0.145,0.194
10.545,1.000,cdu/csu,WP19,-4.017,-0.993,3.990,0.172,0.147,0.196
10.717,1.000,cdu/csu,WP19,-3.846,-0.993,3.820,0.174,0.150,0.198
10.889,1.000,cdu/csu,WP19,-3.674,-0.993,3.649,0.176,0.152,0.200
11.061,1.000,cdu/csu,WP19,-3.502,-0.993,3.479,0.178,0.154,0.202
11.232,1.000,cdu/csu,WP19,-3.331,-0.993,3.308,0.180,0.157,0.204
11.404,1.000,cdu/csu,WP19,-3.159,-0.993,3.138,0.182,0.159,0.206
11.576,1.000,cdu/csu,WP19,-2.987,-0.993,2.967,0.185,0.161,0.208
11.747,1.000,cdu/csu,WP19,-2.815,-0.993,2.796,0.187,0.164,0.210
11.919,1.000,cdu/csu,WP19,-2.644,-0.993,2.626,0.189,0.166,0.212
12.091,1.000,cdu/csu,WP19,-2.472,-0.993,2.455,0.191,0.168,0.214
12.263,1.000,cdu/csu,WP19,-2.300,-0.993,2.285,0.193,0.171,0.216
12.434,1.000,cdu/csu,WP19,-2.129,-0.993,2.114,0.195,0.173,0.218
12.606,1.000,cdu/csu,WP19,-1.957,-0.993,1.944,0.198,0.175,0.220
12.778,1.000,cdu/csu,WP19,-1.785,-0.993,1.773,0.200,0.177,0.222
12.949,1.000,cdu/csu,WP19,-1.613,-0.993,1.603,0.202,0.179,0.225
13.121,1.000,cdu/csu,WP19,-1.442,-0.993,1.432,0.204,0.182,0.227
13.293,1.000,cdu/csu,WP19,-1.270,-0.993,1.261,0.206,0.184,0.229
13.465,1.000,cdu/csu,WP19,-1.098,-0.993,1.091,0.209,0.186,0.231
13.636,1.000,cdu/csu,WP19,-0.927,-0.993,0.920,0.211,0.188,0.233
13.808,1.000,cdu/csu,WP19,-0.755,-0.993,0.750,0.213,0.190,0.236
13.980,1.000,cdu/csu,WP19,-0.583,-0.993,0.579,0.215,0.192,0.238
14.152,1.000,cdu/csu,WP19,-0.411,-0.993,0.409,0.217,0.194,0.240
14.323,1.000,cdu/csu,WP19,-0.240,-0.993,0.238,0.219,0.196,0.243
14.495,1.000,cdu/csu,WP19,-0.068,-0.993,0.068,0.222,0.198,0.245
14.667,1.000,cdu/csu,WP19,0.104,-0.993,-0.103,0.224,0.200,0.247
14.838,1.000,cdu/csu,WP19,0.275,-0.993,-0.274,0.226,0.202,0.250
15.010,1.000,cdu/csu,WP19,0.447,-0.993,-0.444,0.228,0.204,0.252
15.182,1.000,cdu/csu,WP19,0.619,-0.993,-0.615,0.230,0.206,0.254
15.354,1.000,cdu/csu,WP19,0.791,-0.993,-0.785,0.232,0.208,0.257
15.525,1.000,cdu/csu,WP19,0.962,-0.993,-0.956,0.235,0.210,0.259
15.697,1.000,cdu/csu,WP19,1.134,-0.993,-1.126,0.237,0.212,0.262
15.869,1.000,cdu/csu,WP19,1.306,-0.993,-1.297,0.239,0.214,0.264
16.040,1.000,cdu/csu,WP19,1.477,-0.993,-1.467,0.241,0.216,0.266
16.212,1.000,cdu/csu,WP19,1.649,-0.993,-1.638,0.243,0.218,0.269
16.384,1.000,cdu/csu,WP19,1.821,-0.993,-1.809,0.246,0.220,0.271
16.556,1.000,cdu/csu,WP19,1.993,-0.993,-1.979,0.248,0.222,0.274
16.727,1.000,cdu/csu,WP19,2.164,-0.993,-2.150,0.250,0.223,0.276
16.899,1.000,cdu/csu,WP19,2.336,-0.993,-2.320,0.252,0.225,0.279
17.071,1.000,cdu/csu,WP19,2.508,-0.993,-2.491,0.254,0.227,0.281
17.242,1.000,cdu/csu,WP19,2.680,-0.993,-2.661,0.256,0.229,0.284
17.414,1.000,cdu/csu,WP19,2.851,-0.993,-2.832,0.259,0.231,0.286
17.586,1.000,cdu/csu,WP19,3.023,-0.993,-3.002,0.261,0.233,0.289
17.758,1.000,cdu/csu,WP19,3.195,-0.993,-3.173,0.263,0.234,0.292
17.929,1.000,cdu/csu,WP19,3.366,-0.993,-3.344,0.265,0.236,0.294
18.101,1.000,cdu/csu,WP19,3.538,-0.993,-3.514,0.267,0.238,0.297
18.273,1.000,cdu/csu,WP19,3.710,-0.993,-3.685,0.270,0.240,0.299
18.444,1.000,cdu/csu,WP19,3.882,-0.993,-3.855,0.272,0.242,0.302
18.616,1.000,cdu/csu,WP19,4.053,-0.993,-4.026,0.274,0.243,0.304
18.788,1.000,cdu/csu,WP19,4.225,-0.993,-4.196,0.276,0.245,0.307
18.960,1.000,cdu/csu,WP19,4.397,-0.993,-4.367,0.278,0.247,0.310
19.131,1.000,cdu/csu,WP19,4.568,-0.993,-4.537,0.280,0.249,0.312
19.303,1.000,cdu/csu,WP19,4.740,-0.993,-4.708,0.283,0.250,0.315
19.475,1.000,cdu/csu,WP19,4.912,-0.993,-4.879,0.285,0.252,0.318
19.646,1.000,cdu/csu,WP19,5.084,-0.993,-5.049,0.287,0.254,0.320
19.818,1.000,cdu/csu,WP19,5.255,-0.993,-5.220,0.289,0.255,0.323
19.990,1.000,cdu/csu,WP19,5.427,-0.993,-5.390,0.291,0.257,0.325
20.162,1.000,cdu/csu,WP19,5.599,-0.993,-5.561,0.293,0.259,0.328
20.333,1.000,cdu/csu,WP19,5.770,-0.993,-5.731,0.296,0.261,0.331
20.505,1.000,cdu/csu,WP19,5.942,-0.993,-5.902,0.298,0.262,0.333
20.677,1.000,cdu/csu,WP19,6.114,-0.993,-6.072,0.300,0.264,0.336
20.848,1.000,cdu/csu,WP19,6.286,-0.993,-6.243,0.302,0.266,0.339
21.020,1.000,cdu/csu,WP19,6.457,-0.993,-6.414,0.304,0.267,0.341
21.192,1.000,cdu/csu,WP19,6.629,-0.993,-6.584,0.307,0.269,0.344
21.364,1.000,cdu/csu,WP19,6.801,-0.993,-6.755,0.309,0.271,0.347
21.535,1.000,cdu/csu,WP19,6.972,-0.993,-6.925,0.311,0.272,0.349
21.707,1.000,cdu/csu,WP19,7.144,-0.993,-7.096,0.313,0.274,0.352
21.879,1.000,cdu/csu,WP19,7.316,-0.993,-7.266,0.315,0.276,0.355
22.051,1.000,cdu/csu,WP19,7.488,-0.993,-7.437,0.317,0.277,0.358
22.222,1.000,cdu/csu,WP19,7.659,-0.993,-7.607,0.320,0.279,0.360
22.394,1.000,cdu/csu,WP19,7.831,-0.993,-7.778,0.322,0.281,0.363
22.566,1.000,cdu/csu,WP19,8.003,-0.993,-7.949,0.324,0.282,0.366
22.737,1.000,cdu/csu,WP19,8.174,-0.993,-8.119,0.326,0.284,0.368
22.909,1.000,cdu/csu,WP19,8.346,-0.993,-8.290,0.328,0.286,0.371
23.081,1.000,cdu/csu,WP19,8.518,-0.993,-8.460,0.330,0.287,0.374
23.253,1.000,cdu/csu,WP19,8.690,-0.993,-8.631,0.333,0.289,0.376
23.424,1.000,cdu/csu,WP19,8.861,-0.993,-8.801,0.335,0.290,0.379
23.596,1.000,cdu/csu,WP19,9.033,-0.993,-8.972,0.337,0.292,0.382
23.768,1.000,cdu/csu,WP19,9.205,-0.993,-9.142,0.339,0.294,0.385
23.939,1.000,cdu/csu,WP19,9.376,-0.993,-9.313,0.341,0.295,0.387
24.111,1.000,cdu/csu,WP19,9.548,-0.993,-9.484,0.344,0.297,0.390
24.283,1.000,cdu/csu,WP19,9.720,-0.993,-9.654,0.346,0.299,0.393
24.455,1.000,cdu/csu,WP19,9.892,-0.993,-9.825,0.348,0.300,0.396
24.626,1.000,cdu/csu,WP19,10.063,-0.993,-9.995,0.350,0.302,0.398
24.798,1.000,cdu/csu,WP19,10.235,-0.993,-10.166,0.352,0.304,0.401
24.970,1.000,cdu/csu,WP19,10.407,-0.993,-10.336,0.354,0.305,0.404
25.141,1.000,cdu/csu,WP19,10.578,-0.993,-10.507,0.357,0.307,0.406
25.313,1.000,cdu/csu,WP19,10.750,-0.993,-10.677,0.359,0.308,0.409
25.485,1.000,cdu/csu,WP19,10.922,-0.993,-10.848,0.361,0.310,0.412
25.657,1.000,cdu/csu,WP19,11.094,-0.993,-11.019,0.363,0.312,0.415
25.828,1.000,cdu/csu,WP19,11.265,-0.993,-11.189,0.365,0.313,0.417
26.000,1.000,cdu/csu,WP19,11.437,-0.993,-11.360,0.368,0.315,0.420
9.000,2.000,cdu/csu,WP19,-5.563,0.007,-0.038,0.149,0.124,0.175
9.172,2.000,cdu/csu,WP19,-5.391,0.007,-0.036,0.151,0.126,0.177
9.343,2.000,cdu/csu,WP19,-5.219,0.007,-0.035,0.154,0.129,0.179
9.515,2.000,cdu/csu,WP19,-5.048,0.007,-0.034,0.156,0.131,0.181
9.687,2.000,cdu/csu,WP19,-4.876,0.007,-0.033,0.158,0.134,0.183
9.859,2.000,cdu/csu,WP19,-4.704,0.007,-0.032,0.160,0.136,0.185
10.030,2.000,cdu/csu,WP19,-4.533,0.007,-0.031,0.163,0.139,0.187
10.202,2.000,cdu/csu,WP19,-4.361,0.007,-0.030,0.165,0.141,0.189
10.374,2.000,cdu/csu,WP19,-4.189,0.007,-0.028,0.167,0.144,0.191
10.545,2.000,cdu/csu,WP19,-4.017,0.007,-0.027,0.170,0.146,0.193
10.717,2.000,cdu/csu,WP19,-3.846,0.007,-0.026,0.172,0.149,0.195
10.889,2.000,cdu/csu,WP19,-3.674,0.007,-0.025,0.174,0.151,0.197
11.061,2.000,cdu/csu,WP19,-3.502,0.007,-0.024,0.176,0.153,0.199
11.232,2.000,cdu/csu,WP19,-3.331,0.007,-0.023,0.179,0.156,0.201
11.404,2.000,cdu/csu,WP19,-3.159,0.007,-0.021,0.181,0.158,0.204
11.576,2.000,cdu/csu,WP19,-2.987,0.007,-0.020,0.183,0.160,0.206
11.747,2.000,cdu/csu,WP19,-2.815,0.007,-0.019,0.185,0.163,0.208
11.919,2.000,cdu/csu,WP19,-2.644,0.007,-0.018,0.188,0.165,0.210
12.091,2.000,cdu/csu,WP19,-2.472,0.007,-0.017,0.190,0.167,0.212
12.263,2.000,cdu/csu,WP19,-2.300,0.007,-0.016,0.192,0.170,0.215
12.434,2.000,cdu/csu,WP19,-2.129,0.007,-0.014,0.194,0.172,0.217
12.606,2.000,cdu/csu,WP19,-1.957,0.007,-0.013,0.197,0.174,0.219
12.778,2.000,cdu/csu,WP19,-1.785,0.007,-0.012,0.199,0.176,0.221
