poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,cluster_id,electoral_loss,afd_support_c,electoral_loss_c,afd_x_loss
1,2017-10-20,2017-11-09,12,cdu/csu,31.000,32.000,-1.000,1.000,0.000,0.000,,0.000,0.000,0.000,,,,,,0,0,0,0,0,1,0,656.000,True,False,4.000,CDU/CSU,0.000,0.000,0.000,0.000,0.000,6,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,Regierung,1.000,0.000,19.000,WP19,2017,10,20,1.667,5.000,7.667,2.000,2.000,1.000,,8.000,,7.000,8.000,1,1,0,1,0,1,1,0.000,1.000,0.000,1.000,1.000,1.667,5.000,,2.000,2.000,1.000,,,,,,0,1.000,-2.536,0.986,-2.502
1,2017-10-20,2017-11-09,12,fdp,12.000,11.000,1.000,1.000,0.333,1.000,,0.000,1.000,0.000,,,,,,0,0,0,0,0,1,0,479.000,True,False,3.000,FDP,0.000,0.000,0.000,0.000,0.000,6,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,Opposition,0.000,1.000,19.000,WP19,2017,10,20,1.667,5.000,7.667,2.000,2.000,1.000,,8.000,,7.000,8.000,1,1,0,1,0,1,1,0.000,1.000,0.000,1.000,1.000,1.333,4.000,,2.000,1.000,1.000,,,,,,1,-1.000,-2.536,-1.014,2.571
1,2017-10-20,2017-11-09,12,grüne,11.000,10.000,1.000,1.000,0.000,0.000,,0.000,0.000,0.000,,,,,,0,0,0,0,0,2,0,894.000,True,False,1.000,Bündnis 90/Die Grünen,0.000,0.000,0.000,0.000,0.000,6,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,Opposition,0.000,1.000,19.000,WP19,2017,10,20,1.667,5.000,7.667,2.000,2.000,1.000,,8.000,,7.000,8.000,1,1,0,1,0,1,1,0.000,1.000,0.000,1.000,1.000,1.667,5.000,,2.000,2.000,1.000,,,,,,2,-1.000,-2.536,-1.014,2.571
1,2017-10-20,2017-11-09,12,linke,9.000,10.000,-1.000,1.000,0.333,1.000,1.000,1.000,0.000,0.000,,,,2.000,0.000,0,0,0,1,1,1,1,646.000,True,False,0.000,Die Linke,0.000,0.000,0.000,1.000,1.000,6,0,0,0,1,1,0.000,0.000,0.000,0.167,0.167,,,,1.000,1.000,Opposition,0.000,1.000,19.000,WP19,2017,10,20,1.667,5.000,7.667,2.000,2.000,1.000,,8.000,,7.000,8.000,1,1,0,1,0,1,1,0.000,1.000,0.000,1.000,1.000,1.333,4.000,6.667,1.000,2.000,1.000,,,,5.000,8.000,3,1.000,-2.536,0.986,-2.502
1,2017-10-20,2017-11-09,12,spd,21.000,20.000,1.000,1.000,0.667,2.000,,1.000,1.000,0.000,,,,,,0,0,0,0,0,1,0,559.000,True,False,2.000,SPD,0.000,0.000,0.000,0.000,0.000,6,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,Regierung,1.000,0.000,19.000,WP19,2017,10,20,1.667,5.000,7.667,2.000,2.000,1.000,,8.000,,7.000,8.000,1,1,0,1,0,1,1,0.000,1.000,0.000,1.000,1.000,1.000,3.000,,1.000,1.000,1.000,,,,,,4,-1.000,-2.536,-1.014,2.571
4,2017-11-20,2017-12-07,11,cdu/csu,32.000,31.000,1.000,1.000,0.070,0.211,2.075,0.026,0.158,0.026,2.714,3.250,,1.000,1.704,7,12,0,2,27,38,29,694.763,True,False,4.000,CDU/CSU,0.184,0.316,0.000,0.053,0.711,116,17,35,0,10,83,0.060,0.103,0.000,0.017,0.233,0.412,0.343,,0.200,0.325,Regierung,1.000,0.000,19.000,WP19,2017,11,17,0.683,2.050,6.526,0.700,1.050,0.300,9.250,7.143,8.000,4.500,6.737,20,19,4,7,1,4,19,0.200,0.350,0.050,0.200,0.950,0.613,1.839,4.452,0.674,0.892,0.274,6.536,3.893,,3.500,5.033,0,-1.000,-3.536,-1.014,3.584
4,2017-11-20,2017-12-07,11,fdp,10.000,11.000,-1.000,1.000,0.111,0.333,2.036,0.056,0.278,0.000,7.000,1.714,,2.000,1.846,1,7,0,1,13,18,14,579.889,True,False,3.000,FDP,0.056,0.389,0.000,0.056,0.722,116,17,35,0,10,83,0.009,0.060,0.000,0.009,0.112,0.059,0.200,,0.100,0.157,Opposition,0.000,1.000,19.000,WP19,2017,11,17,0.683,2.050,6.526,0.700,1.050,0.300,9.250,7.143,8.000,4.500,6.737,20,19,4,7,1,4,19,0.200,0.350,0.050,0.200,0.950,0.572,1.717,4.491,0.644,0.772,0.300,2.250,5.429,,2.500,4.891,1,1.000,-3.536,0.986,-3.488
4,2017-11-20,2017-12-07,11,grüne,11.000,11.000,0.000,0.000,0.185,0.556,1.167,0.167,0.389,0.000,1.250,1.667,,2.000,0.857,4,3,0,2,14,18,15,614.111,True,False,1.000,Bündnis 90/Die Grünen,0.222,0.167,0.000,0.111,0.778,116,17,35,0,10,83,0.034,0.026,0.000,0.017,0.121,0.235,0.086,,0.200,0.169,Opposition,0.000,1.000,19.000,WP19,2017,11,17,0.683,2.050,6.526,0.700,1.050,0.300,9.250,7.143,8.000,4.500,6.737,20,19,4,7,1,4,19,0.200,0.350,0.050,0.200,0.950,0.498,1.494,5.360,0.533,0.661,0.300,8.000,5.476,,2.500,5.880,2,-0.000,-3.536,-0.014,0.048
4,2017-11-20,2017-12-07,11,linke,10.000,10.000,0.000,0.000,0.519,1.556,1.904,0.389,0.944,0.222,0.000,3.286,,1.500,1.462,2,7,0,4,13,18,13,581.278,True,False,0.000,Die Linke,0.111,0.389,0.000,0.222,0.722,116,17,35,0,10,83,0.017,0.060,0.000,0.034,0.112,0.118,0.200,,0.400,0.157,Opposition,0.000,1.000,19.000,WP19,2017,11,17,0.683,2.050,6.526,0.700,1.050,0.300,9.250,7.143,8.000,4.500,6.737,20,19,4,7,1,4,19,0.200,0.350,0.050,0.200,0.950,0.165,0.494,4.622,0.311,0.106,0.078,9.250,3.857,,3.000,5.275,3,-0.000,-3.536,-0.014,0.048
4,2017-11-20,2017-12-07,11,spd,22.000,21.000,1.000,1.000,0.222,0.667,1.611,0.250,0.417,0.000,1.667,2.667,,1.000,1.562,3,6,0,1,16,24,18,720.250,True,False,2.000,SPD,0.125,0.250,0.000,0.042,0.667,116,17,35,0,10,83,0.026,0.052,0.000,0.009,0.138,0.176,0.171,,0.100,0.193,Regierung,1.000,0.000,19.000,WP19,2017,11,17,0.683,2.050,6.526,0.700,1.050,0.300,9.250,7.143,8.000,4.500,6.737,20,19,4,7,1,4,19,0.200,0.350,0.050,0.200,0.950,0.461,1.383,4.915,0.450,0.633,0.300,7.583,4.476,,3.500,5.174,4,-1.000,-3.536,-1.014,3.584
