afd_support_t,electoral_loss,party_clean,wahlperiode_cat,afd_support_c,electoral_loss_c,afd_x_loss,loss_level,predicted_populism,ci_95_low,ci_95_high
9.000,-1.161,cdu/csu,WP19,-5.536,-1.175,6.503,Niedriger Verlust / eher Gewinn,0.135,0.105,0.165
9.172,-1.161,cdu/csu,WP19,-5.364,-1.175,6.301,Niedriger Verlust / eher Gewinn,0.138,0.108,0.167
9.343,-1.161,cdu/csu,WP19,-5.193,-1.175,6.099,Niedriger Verlust / eher Gewinn,0.141,0.112,0.170
9.515,-1.161,cdu/csu,WP19,-5.021,-1.175,5.897,Niedriger Verlust / eher Gewinn,0.144,0.115,0.172
9.687,-1.161,cdu/csu,WP19,-4.849,-1.175,5.696,Niedriger Verlust / eher Gewinn,0.147,0.118,0.175
9.859,-1.161,cdu/csu,WP19,-4.678,-1.175,5.494,Niedriger Verlust / eher Gewinn,0.150,0.122,0.178
10.030,-1.161,cdu/csu,WP19,-4.506,-1.175,5.292,Niedriger Verlust / eher Gewinn,0.153,0.125,0.180
10.202,-1.161,cdu/csu,WP19,-4.334,-1.175,5.091,Niedriger Verlust / eher Gewinn,0.155,0.128,0.183
10.374,-1.161,cdu/csu,WP19,-4.162,-1.175,4.889,Niedriger Verlust / eher Gewinn,0.158,0.131,0.185
10.545,-1.161,cdu/csu,WP19,-3.991,-1.175,4.687,Niedriger Verlust / eher Gewinn,0.161,0.135,0.188
10.717,-1.161,cdu/csu,WP19,-3.819,-1.175,4.486,Niedriger Verlust / eher Gewinn,0.164,0.138,0.191
10.889,-1.161,cdu/csu,WP19,-3.647,-1.175,4.284,Niedriger Verlust / eher Gewinn,0.167,0.141,0.193
11.061,-1.161,cdu/csu,WP19,-3.476,-1.175,4.082,Niedriger Verlust / eher Gewinn,0.170,0.144,0.196
11.232,-1.161,cdu/csu,WP19,-3.304,-1.175,3.881,Niedriger Verlust / eher Gewinn,0.173,0.147,0.199
11.404,-1.161,cdu/csu,WP19,-3.132,-1.175,3.679,Niedriger Verlust / eher Gewinn,0.176,0.151,0.202
11.576,-1.161,cdu/csu,WP19,-2.960,-1.175,3.477,Niedriger Verlust / eher Gewinn,0.179,0.154,0.204
11.747,-1.161,cdu/csu,WP19,-2.789,-1.175,3.275,Niedriger Verlust / eher Gewinn,0.182,0.157,0.207
11.919,-1.161,cdu/csu,WP19,-2.617,-1.175,3.074,Niedriger Verlust / eher Gewinn,0.185,0.160,0.210
12.091,-1.161,cdu/csu,WP19,-2.445,-1.175,2.872,Niedriger Verlust / eher Gewinn,0.188,0.163,0.213
12.263,-1.161,cdu/csu,WP19,-2.274,-1.175,2.670,Niedriger Verlust / eher Gewinn,0.191,0.166,0.215
12.434,-1.161,cdu/csu,WP19,-2.102,-1.175,2.469,Niedriger Verlust / eher Gewinn,0.194,0.169,0.218
