afd_support_t,is_opposition,party_clean,wahlperiode_cat,afd_support_c,afd_x_opposition,status,predicted_populism,ci_95_low,ci_95_high
9.000,0,cdu/csu,WP19,-5.563,-0.000,Regierung,0.090,0.063,0.117
9.172,0,cdu/csu,WP19,-5.391,-0.000,Regierung,0.092,0.065,0.119
9.343,0,cdu/csu,WP19,-5.219,-0.000,Regierung,0.094,0.067,0.120
9.515,0,cdu/csu,WP19,-5.048,-0.000,Regierung,0.095,0.069,0.122
9.687,0,cdu/csu,WP19,-4.876,-0.000,Regierung,0.097,0.071,0.123
9.859,0,cdu/csu,WP19,-4.704,-0.000,Regierung,0.099,0.073,0.124
10.030,0,cdu/csu,WP19,-4.533,-0.000,Regierung,0.100,0.075,0.126
10.202,0,cdu/csu,WP19,-4.361,-0.000,Regierung,0.102,0.077,0.127
10.374,0,cdu/csu,WP19,-4.189,-0.000,Regierung,0.104,0.079,0.129
10.545,0,cdu/csu,WP19,-4.017,-0.000,Regierung,0.106,0.081,0.130
10.717,0,cdu/csu,WP19,-3.846,-0.000,Regierung,0.107,0.083,0.132
10.889,0,cdu/csu,WP19,-3.674,-0.000,Regierung,0.109,0.085,0.133
11.061,0,cdu/csu,WP19,-3.502,-0.000,Regierung,0.111,0.087,0.135
11.232,0,cdu/csu,WP19,-3.331,-0.000,Regierung,0.112,0.088,0.136
11.404,0,cdu/csu,WP19,-3.159,-0.000,Regierung,0.114,0.090,0.138
11.576,0,cdu/csu,WP19,-2.987,-0.000,Regierung,0.116,0.092,0.140
11.747,0,cdu/csu,WP19,-2.815,-0.000,Regierung,0.118,0.094,0.141
11.919,0,cdu/csu,WP19,-2.644,-0.000,Regierung,0.119,0.096,0.143
12.091,0,cdu/csu,WP19,-2.472,-0.000,Regierung,0.121,0.098,0.144
12.263,0,cdu/csu,WP19,-2.300,-0.000,Regierung,0.123,0.099,0.146
12.434,0,cdu/csu,WP19,-2.129,-0.000,Regierung,0.124,0.101,0.148
12.606,0,cdu/csu,WP19,-1.957,-0.000,Regierung,0.126,0.103,0.149
12.778,0,cdu/csu,WP19,-1.785,-0.000,Regierung,0.128,0.105,0.151
12.949,0,cdu/csu,WP19,-1.613,-0.000,Regierung,0.130,0.106,0.153
13.121,0,cdu/csu,WP19,-1.442,-0.000,Regierung,0.131,0.108,0.154
13.293,0,cdu/csu,WP19,-1.270,-0.000,Regierung,0.133,0.110,0.156
13.465,0,cdu/csu,WP19,-1.098,-0.000,Regierung,0.135,0.111,0.158
13.636,0,cdu/csu,WP19,-0.927,-0.000,Regierung,0.136,0.113,0.160
13.808,0,cdu/csu,WP19,-0.755,-0.000,Regierung,0.138,0.115,0.161
13.980,0,cdu/csu,WP19,-0.583,-0.000,Regierung,0.140,0.116,0.163
14.152,0,cdu/csu,WP19,-0.411,-0.000,Regierung,0.142,0.118,0.165
14.323,0,cdu/csu,WP19,-0.240,-0.000,Regierung,0.143,0.120,0.167
14.495,0,cdu/csu,WP19,-0.068,-0.000,Regierung,0.145,0.121,0.169
14.667,0,cdu/csu,WP19,0.104,0.000,Regierung,0.147,0.123,0.171
14.838,0,cdu/csu,WP19,0.275,0.000,Regierung,0.148,0.124,0.172
15.010,0,cdu/csu,WP19,0.447,0.000,Regierung,0.150,0.126,0.174
15.182,0,cdu/csu,WP19,0.619,0.000,Regierung,0.152,0.127,0.176
15.354,0,cdu/csu,WP19,0.791,0.000,Regierung,0.154,0.129,0.178
15.525,0,cdu/csu,WP19,0.962,0.000,Regierung,0.155,0.130,0.180
15.697,0,cdu/csu,WP19,1.134,0.000,Regierung,0.157,0.132,0.182
15.869,0,cdu/csu,WP19,1.306,0.000,Regierung,0.159,0.133,0.184
16.040,0,cdu/csu,WP19,1.477,0.000,Regierung,0.160,0.135,0.186
16.212,0,cdu/csu,WP19,1.649,0.000,Regierung,0.162,0.136,0.188
16.384,0,cdu/csu,WP19,1.821,0.000,Regierung,0.164,0.138,0.190
16.556,0,cdu/csu,WP19,1.993,0.000,Regierung,0.166,0.139,0.192
16.727,0,cdu/csu,WP19,2.164,0.000,Regierung,0.167,0.141,0.194
16.899,0,cdu/csu,WP19,2.336,0.000,Regierung,0.169,0.142,0.196
17.071,0,cdu/csu,WP19,2.508,0.000,Regierung,0.171,0.144,0.198
17.242,0,cdu/csu,WP19,2.680,0.000,Regierung,0.172,0.145,0.200
17.414,0,cdu/csu,WP19,2.851,0.000,Regierung,0.174,0.146,0.202
17.586,0,cdu/csu,WP19,3.023,0.000,Regierung,0.176,0.148,0.204
17.758,0,cdu/csu,WP19,3.195,0.000,Regierung,0.178,0.149,0.206
17.929,0,cdu/csu,WP19,3.366,0.000,Regierung,0.179,0.150,0.208
18.101,0,cdu/csu,WP19,3.538,0.000,Regierung,0.181,0.152,0.210
18.273,0,cdu/csu,WP19,3.710,0.000,Regierung,0.183,0.153,0.212
18.444,0,cdu/csu,WP19,3.882,0.000,Regierung,0.184,0.154,0.214
18.616,0,cdu/csu,WP19,4.053,0.000,Regierung,0.186,0.156,0.216
18.788,0,cdu/csu,WP19,4.225,0.000,Regierung,0.188,0.157,0.219
18.960,0,cdu/csu,WP19,4.397,0.000,Regierung,0.190,0.158,0.221
19.131,0,cdu/csu,WP19,4.568,0.000,Regierung,0.191,0.160,0.223
19.303,0,cdu/csu,WP19,4.740,0.000,Regierung,0.193,0.161,0.225
19.475,0,cdu/csu,WP19,4.912,0.000,Regierung,0.195,0.162,0.227
19.646,0,cdu/csu,WP19,5.084,0.000,Regierung,0.196,0.164,0.229
19.818,0,cdu/csu,WP19,5.255,0.000,Regierung,0.198,0.165,0.231
19.990,0,cdu/csu,WP19,5.427,0.000,Regierung,0.200,0.166,0.233
20.162,0,cdu/csu,WP19,5.599,0.000,Regierung,0.202,0.167,0.236
20.333,0,cdu/csu,WP19,5.770,0.000,Regierung,0.203,0.169,0.238
20.505,0,cdu/csu,WP19,5.942,0.000,Regierung,0.205,0.170,0.240
20.677,0,cdu/csu,WP19,6.114,0.000,Regierung,0.207,0.171,0.242
20.848,0,cdu/csu,WP19,6.286,0.000,Regierung,0.208,0.173,0.244
21.020,0,cdu/csu,WP19,6.457,0.000,Regierung,0.210,0.174,0.246
21.192,0,cdu/csu,WP19,6.629,0.000,Regierung,0.212,0.175,0.249
21.364,0,cdu/csu,WP19,6.801,0.000,Regierung,0.214,0.176,0.251
21.535,0,cdu/csu,WP19,6.972,0.000,Regierung,0.215,0.177,0.253
21.707,0,cdu/csu,WP19,7.144,0.000,Regierung,0.217,0.179,0.255
21.879,0,cdu/csu,WP19,7.316,0.000,Regierung,0.219,0.180,0.257
22.051,0,cdu/csu,WP19,7.488,0.000,Regierung,0.220,0.181,0.260
22.222,0,cdu/csu,WP19,7.659,0.000,Regierung,0.222,0.182,0.262
22.394,0,cdu/csu,WP19,7.831,0.000,Regierung,0.224,0.184,0.264
22.566,0,cdu/csu,WP19,8.003,0.000,Regierung,0.226,0.185,0.266
22.737,0,cdu/csu,WP19,8.174,0.000,Regierung,0.227,0.186,0.268
22.909,0,cdu/csu,WP19,8.346,0.000,Regierung,0.229,0.187,0.271
23.081,0,cdu/csu,WP19,8.518,0.000,Regierung,0.231,0.189,0.273
23.253,0,cdu/csu,WP19,8.690,0.000,Regierung,0.232,0.190,0.275
23.424,0,cdu/csu,WP19,8.861,0.000,Regierung,0.234,0.191,0.277
23.596,0,cdu/csu,WP19,9.033,0.000,Regierung,0.236,0.192,0.279
23.768,0,cdu/csu,WP19,9.205,0.000,Regierung,0.238,0.193,0.282
23.939,0,cdu/csu,WP19,9.376,0.000,Regierung,0.239,0.195,0.284
24.111,0,cdu/csu,WP19,9.548,0.000,Regierung,0.241,0.196,0.286
24.283,0,cdu/csu,WP19,9.720,0.000,Regierung,0.243,0.197,0.288
24.455,0,cdu/csu,WP19,9.892,0.000,Regierung,0.244,0.198,0.291
24.626,0,cdu/csu,WP19,10.063,0.000,Regierung,0.246,0.199,0.293
24.798,0,cdu/csu,WP19,10.235,0.000,Regierung,0.248,0.201,0.295
24.970,0,cdu/csu,WP19,10.407,0.000,Regierung,0.249,0.202,0.297
25.141,0,cdu/csu,WP19,10.578,0.000,Regierung,0.251,0.203,0.300
25.313,0,cdu/csu,WP19,10.750,0.000,Regierung,0.253,0.204,0.302
25.485,0,cdu/csu,WP19,10.922,0.000,Regierung,0.255,0.205,0.304
25.657,0,cdu/csu,WP19,11.094,0.000,Regierung,0.256,0.206,0.306
25.828,0,cdu/csu,WP19,11.265,0.000,Regierung,0.258,0.208,0.308
26.000,0,cdu/csu,WP19,11.437,0.000,Regierung,0.260,0.209,0.311
9.000,1,cdu/csu,WP19,-5.563,-5.563,Opposition,0.198,0.168,0.228
9.172,1,cdu/csu,WP19,-5.391,-5.391,Opposition,0.201,0.172,0.230
9.343,1,cdu/csu,WP19,-5.219,-5.219,Opposition,0.204,0.175,0.233
9.515,1,cdu/csu,WP19,-5.048,-5.048,Opposition,0.207,0.178,0.235
9.687,1,cdu/csu,WP19,-4.876,-4.876,Opposition,0.210,0.182,0.238
9.859,1,cdu/csu,WP19,-4.704,-4.704,Opposition,0.213,0.185,0.241
10.030,1,cdu/csu,WP19,-4.533,-4.533,Opposition,0.216,0.188,0.243
10.202,1,cdu/csu,WP19,-4.361,-4.361,Opposition,0.219,0.192,0.246
10.374,1,cdu/csu,WP19,-4.189,-4.189,Opposition,0.222,0.195,0.249
10.545,1,cdu/csu,WP19,-4.017,-4.017,Opposition,0.225,0.198,0.251
10.717,1,cdu/csu,WP19,-3.846,-3.846,Opposition,0.228,0.201,0.254
10.889,1,cdu/csu,WP19,-3.674,-3.674,Opposition,0.231,0.205,0.257
11.061,1,cdu/csu,WP19,-3.502,-3.502,Opposition,0.234,0.208,0.259
11.232,1,cdu/csu,WP19,-3.331,-3.331,Opposition,0.237,0.211,0.262
11.404,1,cdu/csu,WP19,-3.159,-3.159,Opposition,0.239,0.214,0.265
11.576,1,cdu/csu,WP19,-2.987,-2.987,Opposition,0.242,0.217,0.267
11.747,1,cdu/csu,WP19,-2.815,-2.815,Opposition,0.245,0.221,0.270
11.919,1,cdu/csu,WP19,-2.644,-2.644,Opposition,0.248,0.224,0.273
12.091,1,cdu/csu,WP19,-2.472,-2.472,Opposition,0.251,0.227,0.276
12.263,1,cdu/csu,WP19,-2.300,-2.300,Opposition,0.254,0.230,0.278
12.434,1,cdu/csu,WP19,-2.129,-2.129,Opposition,0.257,0.233,0.281
12.606,1,cdu/csu,WP19,-1.957,-1.957,Opposition,0.260,0.236,0.284
12.778,1,cdu/csu,WP19,-1.785,-1.785,Opposition,0.263,0.239,0.287
12.949,1,cdu/csu,WP19,-1.613,-1.613,Opposition,0.266,0.242,0.290
13.121,1,cdu/csu,WP19,-1.442,-1.442,Opposition,0.269,0.245,0.293
13.293,1,cdu/csu,WP19,-1.270,-1.270,Opposition,0.272,0.248,0.296
13.465,1,cdu/csu,WP19,-1.098,-1.098,Opposition,0.275,0.251,0.299
13.636,1,cdu/csu,WP19,-0.927,-0.927,Opposition,0.278,0.254,0.301
13.808,1,cdu/csu,WP19,-0.755,-0.755,Opposition,0.281,0.257,0.304
13.980,1,cdu/csu,WP19,-0.583,-0.583,Opposition,0.284,0.260,0.307
14.152,1,cdu/csu,WP19,-0.411,-0.411,Opposition,0.287,0.263,0.310
14.323,1,cdu/csu,WP19,-0.240,-0.240,Opposition,0.290,0.266,0.313
14.495,1,cdu/csu,WP19,-0.068,-0.068,Opposition,0.293,0.269,0.316
14.667,1,cdu/csu,WP19,0.104,0.104,Opposition,0.296,0.272,0.319
14.838,1,cdu/csu,WP19,0.275,0.275,Opposition,0.299,0.275,0.323
15.010,1,cdu/csu,WP19,0.447,0.447,Opposition,0.302,0.277,0.326
15.182,1,cdu/csu,WP19,0.619,0.619,Opposition,0.304,0.280,0.329
15.354,1,cdu/csu,WP19,0.791,0.791,Opposition,0.307,0.283,0.332
15.525,1,cdu/csu,WP19,0.962,0.962,Opposition,0.310,0.286,0.335
15.697,1,cdu/csu,WP19,1.134,1.134,Opposition,0.313,0.289,0.338
15.869,1,cdu/csu,WP19,1.306,1.306,Opposition,0.316,0.291,0.341
16.040,1,cdu/csu,WP19,1.477,1.477,Opposition,0.319,0.294,0.344
16.212,1,cdu/csu,WP19,1.649,1.649,Opposition,0.322,0.297,0.348
16.384,1,cdu/csu,WP19,1.821,1.821,Opposition,0.325,0.300,0.351
16.556,1,cdu/csu,WP19,1.993,1.993,Opposition,0.328,0.302,0.354
16.727,1,cdu/csu,WP19,2.164,2.164,Opposition,0.331,0.305,0.357
16.899,1,cdu/csu,WP19,2.336,2.336,Opposition,0.334,0.308,0.360
17.071,1,cdu/csu,WP19,2.508,2.508,Opposition,0.337,0.310,0.364
17.242,1,cdu/csu,WP19,2.680,2.680,Opposition,0.340,0.313,0.367
17.414,1,cdu/csu,WP19,2.851,2.851,Opposition,0.343,0.316,0.370
17.586,1,cdu/csu,WP19,3.023,3.023,Opposition,0.346,0.318,0.374
17.758,1,cdu/csu,WP19,3.195,3.195,Opposition,0.349,0.321,0.377
17.929,1,cdu/csu,WP19,3.366,3.366,Opposition,0.352,0.323,0.380
18.101,1,cdu/csu,WP19,3.538,3.538,Opposition,0.355,0.326,0.383
18.273,1,cdu/csu,WP19,3.710,3.710,Opposition,0.358,0.329,0.387
18.444,1,cdu/csu,WP19,3.882,3.882,Opposition,0.361,0.331,0.390
18.616,1,cdu/csu,WP19,4.053,4.053,Opposition,0.364,0.334,0.393
18.788,1,cdu/csu,WP19,4.225,4.225,Opposition,0.366,0.336,0.397
18.960,1,cdu/csu,WP19,4.397,4.397,Opposition,0.369,0.339,0.400
19.131,1,cdu/csu,WP19,4.568,4.568,Opposition,0.372,0.341,0.404
19.303,1,cdu/csu,WP19,4.740,4.740,Opposition,0.375,0.344,0.407
19.475,1,cdu/csu,WP19,4.912,4.912,Opposition,0.378,0.346,0.410
19.646,1,cdu/csu,WP19,5.084,5.084,Opposition,0.381,0.349,0.414
19.818,1,cdu/csu,WP19,5.255,5.255,Opposition,0.384,0.351,0.417
19.990,1,cdu/csu,WP19,5.427,5.427,Opposition,0.387,0.354,0.421
20.162,1,cdu/csu,WP19,5.599,5.599,Opposition,0.390,0.356,0.424
20.333,1,cdu/csu,WP19,5.770,5.770,Opposition,0.393,0.359,0.427
20.505,1,cdu/csu,WP19,5.942,5.942,Opposition,0.396,0.361,0.431
20.677,1,cdu/csu,WP19,6.114,6.114,Opposition,0.399,0.364,0.434
20.848,1,cdu/csu,WP19,6.286,6.286,Opposition,0.402,0.366,0.438
21.020,1,cdu/csu,WP19,6.457,6.457,Opposition,0.405,0.369,0.441
21.192,1,cdu/csu,WP19,6.629,6.629,Opposition,0.408,0.371,0.445
21.364,1,cdu/csu,WP19,6.801,6.801,Opposition,0.411,0.374,0.448
21.535,1,cdu/csu,WP19,6.972,6.972,Opposition,0.414,0.376,0.451
21.707,1,cdu/csu,WP19,7.144,7.144,Opposition,0.417,0.379,0.455
21.879,1,cdu/csu,WP19,7.316,7.316,Opposition,0.420,0.381,0.458
22.051,1,cdu/csu,WP19,7.488,7.488,Opposition,0.423,0.383,0.462
22.222,1,cdu/csu,WP19,7.659,7.659,Opposition,0.426,0.386,0.465
22.394,1,cdu/csu,WP19,7.831,7.831,Opposition,0.429,0.388,0.469
22.566,1,cdu/csu,WP19,8.003,8.003,Opposition,0.431,0.391,0.472
22.737,1,cdu/csu,WP19,8.174,8.174,Opposition,0.434,0.393,0.476
22.909,1,cdu/csu,WP19,8.346,8.346,Opposition,0.437,0.396,0.479
23.081,1,cdu/csu,WP19,8.518,8.518,Opposition,0.440,0.398,0.483
23.253,1,cdu/csu,WP19,8.690,8.690,Opposition,0.443,0.400,0.486
23.424,1,cdu/csu,WP19,8.861,8.861,Opposition,0.446,0.403,0.490
23.596,1,cdu/csu,WP19,9.033,9.033,Opposition,0.449,0.405,0.493
23.768,1,cdu/csu,WP19,9.205,9.205,Opposition,0.452,0.408,0.497
23.939,1,cdu/csu,WP19,9.376,9.376,Opposition,0.455,0.410,0.500
24.111,1,cdu/csu,WP19,9.548,9.548,Opposition,0.458,0.412,0.504
24.283,1,cdu/csu,WP19,9.720,9.720,Opposition,0.461,0.415,0.507
24.455,1,cdu/csu,WP19,9.892,9.892,Opposition,0.464,0.417,0.511
24.626,1,cdu/csu,WP19,10.063,10.063,Opposition,0.467,0.420,0.514
24.798,1,cdu/csu,WP19,10.235,10.235,Opposition,0.470,0.422,0.518
24.970,1,cdu/csu,WP19,10.407,10.407,Opposition,0.473,0.424,0.521
25.141,1,cdu/csu,WP19,10.578,10.578,Opposition,0.476,0.427,0.525
25.313,1,cdu/csu,WP19,10.750,10.750,Opposition,0.479,0.429,0.528
25.485,1,cdu/csu,WP19,10.922,10.922,Opposition,0.482,0.432,0.532
25.657,1,cdu/csu,WP19,11.094,11.094,Opposition,0.485,0.434,0.535
25.828,1,cdu/csu,WP19,11.265,11.265,Opposition,0.488,0.436,0.539
26.000,1,cdu/csu,WP19,11.437,11.437,Opposition,0.491,0.439,0.542
