operationalization,comparison,bootstrap_type,p_value
absolute,Umwelt minus Migration,WCR11,0.250
absolute,Umwelt minus Migration,WCR31,0.312
absolute,Umwelt minus Gesellschaftspolitik,WCR11,0.625
absolute,Umwelt minus Gesellschaftspolitik,WCR31,0.625
absolute,Umwelt minus Bürgerrechte,WCR11,0.000
absolute,Umwelt minus Bürgerrechte,WCR31,0.000
absolute,Umwelt minus Kosmopolitismus,WCR11,0.625
absolute,Umwelt minus Kosmopolitismus,WCR31,0.688
absolute,Migration minus Gesellschaftspolitik,WCR11,0.188
absolute,Migration minus Gesellschaftspolitik,WCR31,0.188
absolute,Migration minus Bürgerrechte,WCR11,0.125
absolute,Migration minus Bürgerrechte,WCR31,0.188
absolute,Migration minus Kosmopolitismus,WCR11,0.125
absolute,Migration minus Kosmopolitismus,WCR31,0.188
absolute,Gesellschaftspolitik minus Bürgerrechte,WCR11,0.125
absolute,Gesellschaftspolitik minus Bürgerrechte,WCR31,0.125
absolute,Gesellschaftspolitik minus Kosmopolitismus,WCR11,0.812
absolute,Gesellschaftspolitik minus Kosmopolitismus,WCR31,0.812
absolute,Bürgerrechte minus Kosmopolitismus,WCR11,0.250
absolute,Bürgerrechte minus Kosmopolitismus,WCR31,0.188
