operationalization,dimension,dimension_label,bootstrap_type,p_value
distance,G1_environment,Umwelt,WCR11,0.062
distance,G1_environment,Umwelt,WCR31,0.062
distance,G2_migration,Migration,WCR11,0.062
distance,G2_migration,Migration,WCR31,0.125
distance,G3_society,Gesellschaftspolitik,WCR11,0.312
distance,G3_society,Gesellschaftspolitik,WCR31,0.375
distance,G4_civil_rights,Bürgerrechte,WCR11,0.312
distance,G4_civil_rights,Bürgerrechte,WCR31,0.312
distance,G5_cosmopolitanism,Kosmopolitismus,WCR11,0.688
distance,G5_cosmopolitanism,Kosmopolitismus,WCR31,0.750
