operationalization,comparison,bootstrap_type,p_value
distance,Umwelt minus Migration,WCR11,0.188
distance,Umwelt minus Migration,WCR31,0.188
distance,Umwelt minus Gesellschaftspolitik,WCR11,0.188
distance,Umwelt minus Gesellschaftspolitik,WCR31,0.125
distance,Umwelt minus Bürgerrechte,WCR11,0.000
distance,Umwelt minus Bürgerrechte,WCR31,0.000
distance,Umwelt minus Kosmopolitismus,WCR11,0.000
distance,Umwelt minus Kosmopolitismus,WCR31,0.062
distance,Migration minus Gesellschaftspolitik,WCR11,0.000
distance,Migration minus Gesellschaftspolitik,WCR31,0.062
distance,Migration minus Bürgerrechte,WCR11,0.000
distance,Migration minus Bürgerrechte,WCR31,0.062
distance,Migration minus Kosmopolitismus,WCR11,0.000
distance,Migration minus Kosmopolitismus,WCR31,0.062
distance,Gesellschaftspolitik minus Bürgerrechte,WCR11,0.062
distance,Gesellschaftspolitik minus Bürgerrechte,WCR31,0.062
distance,Gesellschaftspolitik minus Kosmopolitismus,WCR11,0.375
distance,Gesellschaftspolitik minus Kosmopolitismus,WCR31,0.438
distance,Bürgerrechte minus Kosmopolitismus,WCR11,0.000
distance,Bürgerrechte minus Kosmopolitismus,WCR31,0.000
