research_question,operationalization,model,term,focal_term,b,SE,t,p,CI_low,CI_high
FF3,Distanz zur AfD,FF3_Distanz,Intercept,False,5.142,0.490,10.487,0.000,4.181,6.102
FF3,Distanz zur AfD,FF3_Distanz,C(wahlperiode)[T.20],False,0.238,0.109,2.190,0.029,0.025,0.452
FF3,Distanz zur AfD,FF3_Distanz,C(wahlperiode)[T.21],False,0.646,0.387,1.669,0.095,-0.113,1.406
FF3,Distanz zur AfD,FF3_Distanz,rhetoric_distance_lag1,True,1.425,0.473,3.013,0.003,0.498,2.352
FF3,Distanz zur AfD,FF3_Distanz,position_distance_lag1,False,-0.129,0.106,-1.213,0.225,-0.338,0.079
FF3,Distanz zur AfD,FF3_Distanz,afd_support_lag1,False,-0.034,0.017,-1.974,0.048,-0.067,-0.000
FF4,Distanz zur AfD,FF4_Distanz,Intercept,False,0.396,0.185,2.139,0.032,0.033,0.758
FF4,Distanz zur AfD,FF4_Distanz,C(wahlperiode)[T.20],False,0.043,0.037,1.170,0.242,-0.029,0.116
FF4,Distanz zur AfD,FF4_Distanz,C(wahlperiode)[T.21],False,-0.072,0.090,-0.801,0.423,-0.247,0.104
FF4,Distanz zur AfD,FF4_Distanz,position_distance_lag1,True,0.011,0.037,0.293,0.769,-0.062,0.084
FF4,Distanz zur AfD,FF4_Distanz,rhetoric_distance_lag1,False,0.241,0.138,1.742,0.082,-0.030,0.513
FF4,Distanz zur AfD,FF4_Distanz,afd_support_lag1,False,0.005,0.006,0.785,0.432,-0.007,0.016
FF3,Absolute Mainstream-Werte,FF3_Absolut,Intercept,False,0.885,0.179,4.958,0.000,0.535,1.236
FF3,Absolute Mainstream-Werte,FF3_Absolut,C(wahlperiode)[T.20],False,0.092,0.074,1.244,0.214,-0.053,0.236
FF3,Absolute Mainstream-Werte,FF3_Absolut,C(wahlperiode)[T.21],False,-0.626,0.256,-2.449,0.014,-1.128,-0.125
FF3,Absolute Mainstream-Werte,FF3_Absolut,rhetoric_absolute_lag1,True,2.057,0.889,2.313,0.021,0.314,3.799
FF3,Absolute Mainstream-Werte,FF3_Absolut,position_absolute_lag1,False,-0.067,0.136,-0.489,0.625,-0.334,0.201
FF3,Absolute Mainstream-Werte,FF3_Absolut,afd_support_lag1,False,0.051,0.013,3.968,0.000,0.026,0.076
FF4,Absolute Mainstream-Werte,FF4_Absolut,Intercept,False,0.037,0.031,1.169,0.242,-0.025,0.098
FF4,Absolute Mainstream-Werte,FF4_Absolut,C(wahlperiode)[T.20],False,0.023,0.009,2.503,0.012,0.005,0.042
FF4,Absolute Mainstream-Werte,FF4_Absolut,C(wahlperiode)[T.21],False,0.008,0.027,0.296,0.767,-0.045,0.061
FF4,Absolute Mainstream-Werte,FF4_Absolut,position_absolute_lag1,True,-0.006,0.021,-0.277,0.782,-0.046,0.035
FF4,Absolute Mainstream-Werte,FF4_Absolut,rhetoric_absolute_lag1,False,0.659,0.161,4.084,0.000,0.343,0.975
FF4,Absolute Mainstream-Werte,FF4_Absolut,afd_support_lag1,False,0.004,0.002,1.823,0.068,-0.000,0.007
