poll_interval_id,poll_date,next_poll_date,wahlperiode,afd_support_t,afd_support_lag1,populism_distance_to_afd,rhetoric_distance_lag1,gal_tan_distance_to_afd,position_distance_lag1,mean_populism_score,rhetoric_absolute_lag1,mean_gal_tan_score,position_absolute_lag1
0,2017-10-12,2017-10-20,,11,,,,,,,,,
1,2017-10-20,2017-11-09,19.000,12,11.000,1.444,,6.667,,0.222,,1.000,
2,2017-11-09,2017-11-17,,13,12.000,,1.444,,6.667,,0.222,,1.000
3,2017-11-17,2017-11-20,,12,13.000,,,,,,,,
4,2017-11-20,2017-12-07,19.000,11,12.000,0.488,,4.729,,0.195,,1.797,
5,2017-12-07,2017-12-15,19.000,13,11.000,0.688,0.488,4.319,4.729,0.206,0.195,2.189,1.797
6,2017-12-15,2018-01-04,,13,13.000,,0.688,,4.319,,0.206,,2.189
7,2018-01-04,2018-01-26,19.000,13,13.000,0.888,,5.846,,0.270,,2.188,
8,2018-01-26,2018-02-01,19.000,12,13.000,1.288,0.888,6.955,5.846,0.212,0.270,2.545,2.188
9,2018-02-01,2018-02-15,19.000,14,12.000,0.869,1.288,4.925,6.955,0.260,0.212,2.310,2.545
10,2018-02-15,2018-02-23,19.000,15,14.000,0.735,0.869,5.926,4.925,0.348,0.260,2.164,2.310
11,2018-02-23,2018-03-01,19.000,14,15.000,0.665,0.735,5.039,5.926,0.235,0.348,1.940,2.164
12,2018-03-01,2018-03-23,19.000,15,14.000,0.647,0.665,5.042,5.039,0.227,0.235,1.989,1.940
13,2018-03-23,2018-04-05,19.000,13,15.000,0.883,0.647,5.566,5.042,0.245,0.227,2.859,1.989
14,2018-04-05,2018-04-20,19.000,14,13.000,0.677,0.883,4.648,5.566,0.247,0.245,2.087,2.859
15,2018-04-20,2018-05-09,19.000,15,14.000,0.647,0.677,5.385,4.648,0.220,0.247,1.609,2.087
16,2018-05-09,2018-05-18,19.000,15,15.000,0.782,0.647,5.360,5.385,0.239,0.220,1.931,1.609
17,2018-05-18,2018-06-14,19.000,14,15.000,0.810,0.782,5.693,5.360,0.222,0.239,1.765,1.931
18,2018-06-14,2018-06-28,19.000,15,14.000,0.923,0.810,5.221,5.693,0.266,0.222,2.152,1.765
19,2018-06-28,2018-07-05,19.000,14,15.000,0.691,0.923,5.234,5.221,0.193,0.266,1.822,2.152
20,2018-07-05,2018-07-27,19.000,16,14.000,0.957,0.691,5.200,5.234,0.274,0.193,2.364,1.822
21,2018-07-27,2018-08-02,,16,16.000,,0.957,,5.200,,0.274,,2.364
22,2018-08-02,2018-08-24,,17,16.000,,,,,,,,
23,2018-08-24,2018-09-06,,17,17.000,,,,,,,,
24,2018-09-06,2018-09-21,19.000,16,17.000,0.949,,5.624,,0.295,,2.070,
25,2018-09-21,2018-10-11,19.000,18,16.000,0.667,0.949,4.858,5.624,0.248,0.295,2.273,2.070
26,2018-10-11,2018-10-19,19.000,16,18.000,0.567,0.667,4.556,4.858,0.230,0.248,1.840,2.273
27,2018-10-19,2018-11-15,19.000,16,16.000,0.515,0.567,4.344,4.556,0.241,0.230,2.079,1.840
28,2018-11-15,2018-11-30,19.000,14,16.000,0.649,0.515,4.682,4.344,0.206,0.241,1.776,2.079
29,2018-11-30,2018-12-06,19.000,15,14.000,0.797,0.649,7.024,4.682,0.233,0.206,1.833,1.776
30,2018-12-06,2018-12-14,19.000,14,15.000,0.727,0.797,5.116,7.024,0.189,0.233,1.500,1.833
31,2018-12-14,2019-01-10,19.000,13,14.000,0.764,0.727,5.333,5.116,0.170,0.189,1.593,1.500
32,2019-01-10,2019-01-25,19.000,14,13.000,0.536,0.764,4.404,5.333,0.224,0.170,2.086,1.593
33,2019-01-25,2019-02-14,19.000,15,14.000,0.510,0.536,4.398,4.404,0.206,0.224,2.126,2.086
34,2019-02-14,2019-02-22,19.000,13,15.000,0.560,0.510,5.148,4.398,0.236,0.206,1.873,2.126
35,2019-02-22,2019-03-15,19.000,12,13.000,0.714,0.560,4.814,5.148,0.223,0.236,2.081,1.873
36,2019-03-15,2019-03-22,19.000,13,12.000,0.554,0.714,5.107,4.814,0.196,0.223,1.280,2.081
37,2019-03-22,2019-04-04,19.000,12,13.000,0.808,0.554,4.957,5.107,0.162,0.196,1.943,1.280
38,2019-04-04,2019-04-18,19.000,12,12.000,0.546,0.808,4.603,4.957,0.219,0.162,1.886,1.943
39,2019-04-18,2019-05-02,,13,12.000,,0.546,,4.603,,0.219,,1.886
40,2019-05-02,2019-05-17,19.000,12,13.000,0.652,,4.681,,0.221,,1.855,
41,2019-05-17,2019-06-06,19.000,13,12.000,0.925,0.652,6.231,4.681,0.186,0.221,1.813,1.855
42,2019-06-06,2019-06-28,19.000,13,13.000,0.710,0.925,5.255,6.231,0.236,0.186,1.901,1.813
43,2019-06-28,2019-07-04,19.000,12,13.000,0.456,0.710,5.246,5.255,0.156,0.236,1.554,1.901
44,2019-07-04,2019-07-26,19.000,13,12.000,0.889,0.456,,5.246,0.111,0.156,2.250,1.554
45,2019-07-26,2019-08-01,,12,13.000,,0.889,,,,0.111,,2.250
46,2019-08-01,2019-08-23,,14,12.000,,,,,,,,
47,2019-08-23,2019-09-05,,14,14.000,,,,,,,,
48,2019-09-05,2019-09-20,19.000,15,14.000,0.777,,5.721,,0.259,,1.867,
49,2019-09-20,2019-10-11,19.000,14,15.000,0.609,0.777,5.054,5.721,0.225,0.259,1.591,1.867
50,2019-10-11,2019-10-18,19.000,14,14.000,0.729,0.609,4.754,5.054,0.200,0.225,1.727,1.591
51,2019-10-18,2019-11-07,19.000,14,14.000,0.655,0.729,5.442,4.754,0.231,0.200,1.844,1.727
52,2019-11-07,2019-11-15,19.000,14,14.000,0.621,0.655,4.553,5.442,0.196,0.231,2.060,1.844
53,2019-11-15,2019-12-05,19.000,14,14.000,0.755,0.621,4.781,4.553,0.221,0.196,1.997,2.060
54,2019-12-05,2019-12-13,19.000,15,14.000,0.440,0.755,4.171,4.781,0.227,0.221,1.403,1.997
55,2019-12-13,2020-01-09,19.000,15,15.000,0.715,0.440,4.770,4.171,0.226,0.227,2.290,1.403
56,2020-01-09,2020-01-24,19.000,14,15.000,0.670,0.715,4.320,4.770,0.137,0.226,1.988,2.290
57,2020-01-24,2020-02-06,19.000,14,14.000,0.409,0.670,5.791,4.320,0.211,0.137,1.828,1.988
58,2020-02-06,2020-02-13,19.000,14,14.000,0.365,0.409,3.283,5.791,0.158,0.211,1.027,1.828
59,2020-02-13,2020-03-05,19.000,14,14.000,0.675,0.365,5.024,3.283,0.204,0.158,1.848,1.027
60,2020-03-05,2020-03-20,19.000,12,14.000,0.549,0.675,4.845,5.024,0.208,0.204,1.682,1.848
61,2020-03-20,2020-04-02,19.000,10,12.000,0.260,0.549,3.000,4.845,0.121,0.208,1.546,1.682
62,2020-04-02,2020-04-17,,10,10.000,,0.260,,3.000,,0.121,,1.546
63,2020-04-17,2020-05-07,19.000,9,10.000,0.679,,5.299,,0.180,,1.833,
64,2020-05-07,2020-05-15,19.000,9,9.000,0.679,0.679,5.182,5.299,0.180,0.180,1.713,1.833
65,2020-05-15,2020-06-04,19.000,10,9.000,0.580,0.679,5.003,5.182,0.170,0.180,1.517,1.713
66,2020-06-04,2020-06-26,19.000,9,10.000,0.682,0.580,5.775,5.003,0.191,0.170,1.955,1.517
67,2020-06-26,2020-07-02,19.000,10,9.000,0.802,0.682,6.675,5.775,0.115,0.191,1.310,1.955
68,2020-07-02,2020-07-24,19.000,10,10.000,0.521,0.802,4.398,6.675,0.235,0.115,2.102,1.310
69,2020-07-24,2020-08-06,,11,10.000,,0.521,,4.398,,0.235,,2.102
70,2020-08-06,2020-08-21,,11,11.000,,,,,,,,
71,2020-08-21,2020-09-03,,10,11.000,,,,,,,,
72,2020-09-03,2020-09-18,19.000,10,10.000,0.724,,4.886,,0.210,,1.762,
73,2020-09-18,2020-10-01,19.000,10,10.000,0.784,0.724,5.653,4.886,0.207,0.210,1.565,1.762
74,2020-10-01,2020-10-16,19.000,10,10.000,0.686,0.784,5.255,5.653,0.250,0.207,1.734,1.565
75,2020-10-16,2020-11-12,19.000,11,10.000,0.689,0.686,4.716,5.255,0.196,0.250,2.137,1.734
76,2020-11-12,2020-11-27,19.000,10,11.000,0.599,0.689,4.739,4.716,0.198,0.196,1.817,2.137
77,2020-11-27,2020-12-03,19.000,11,10.000,1.086,0.599,6.727,4.739,0.126,0.198,0.702,1.817
78,2020-12-03,2020-12-11,19.000,10,11.000,0.854,1.086,6.097,6.727,0.202,0.126,1.603,0.702
79,2020-12-11,2021-01-07,19.000,9,10.000,0.761,0.854,5.403,6.097,0.228,0.202,1.829,1.603
80,2021-01-07,2021-01-22,19.000,10,9.000,0.474,0.761,4.829,5.403,0.300,0.228,1.786,1.829
81,2021-01-22,2021-02-04,19.000,10,10.000,0.585,0.474,4.097,4.829,0.198,0.300,1.753,1.786
82,2021-02-04,2021-02-19,19.000,10,10.000,0.557,0.585,4.325,4.097,0.221,0.198,1.648,1.753
83,2021-02-19,2021-03-04,19.000,11,10.000,0.572,0.557,4.725,4.325,0.231,0.221,1.684,1.648
84,2021-03-04,2021-03-19,19.000,11,11.000,0.762,0.572,4.703,4.725,0.257,0.231,1.984,1.684
85,2021-03-19,2021-04-01,19.000,11,11.000,0.654,0.762,4.929,4.703,0.187,0.257,1.602,1.984
86,2021-04-01,2021-04-16,19.000,11,11.000,0.687,0.654,5.883,4.929,0.140,0.187,1.394,1.602
87,2021-04-16,2021-05-06,19.000,11,11.000,0.560,0.687,4.417,5.883,0.183,0.140,1.793,1.394
88,2021-05-06,2021-05-14,19.000,12,11.000,0.578,0.560,4.539,4.417,0.215,0.183,1.969,1.793
89,2021-05-14,2021-06-10,19.000,11,12.000,0.667,0.578,5.124,4.539,0.189,0.215,1.542,1.969
90,2021-06-10,2021-06-25,19.000,12,11.000,0.531,0.667,4.830,5.124,0.216,0.189,2.232,1.542
91,2021-06-25,2021-07-01,19.000,12,12.000,0.459,0.531,5.496,4.830,0.268,0.216,1.326,2.232
92,2021-07-01,2021-07-23,,11,12.000,,0.459,,5.496,,0.268,,1.326
93,2021-07-23,2021-08-05,,10,11.000,,,,,,,,
94,2021-08-05,2021-08-20,,10,10.000,,,,,,,,
95,2021-08-20,2021-09-02,19.000,11,10.000,0.760,,5.356,,0.340,,2.125,
96,2021-09-02,2021-09-16,19.000,12,11.000,0.773,0.760,3.526,5.356,0.394,0.340,2.790,2.125
97,2021-09-16,2021-10-29,20.000,11,12.000,1.333,0.773,6.250,3.526,0.333,0.394,1.500,2.790
98,2021-10-29,2021-11-04,,10,11.000,,1.333,,6.250,,0.333,,1.500
99,2021-11-04,2021-11-26,20.000,10,10.000,0.533,,5.441,,0.346,,2.243,
100,2021-11-26,2021-12-02,,11,10.000,,0.533,,5.441,,0.346,,2.243
101,2021-12-02,2021-12-10,20.000,11,11.000,0.740,,5.806,,0.177,,2.122,
102,2021-12-10,2022-01-06,20.000,11,11.000,1.084,0.740,4.395,5.806,0.155,0.177,2.432,2.122
103,2022-01-06,2022-01-21,20.000,11,11.000,0.921,1.084,5.659,4.395,0.176,0.155,1.956,2.432
104,2022-01-21,2022-02-03,20.000,12,11.000,0.667,0.921,4.919,5.659,0.188,0.176,2.319,1.956
105,2022-02-03,2022-02-18,20.000,12,12.000,0.660,0.667,5.999,4.919,0.213,0.188,1.696,2.319
106,2022-02-18,2022-03-03,20.000,12,12.000,0.569,0.660,5.183,5.999,0.243,0.213,1.911,1.696
107,2022-03-03,2022-03-18,20.000,11,12.000,0.653,0.569,4.557,5.183,0.267,0.243,1.856,1.911
108,2022-03-18,2022-04-07,20.000,11,11.000,0.618,0.653,5.017,4.557,0.186,0.267,1.719,1.856
109,2022-04-07,2022-04-14,20.000,11,11.000,0.571,0.618,5.395,5.017,0.199,0.186,1.851,1.719
110,2022-04-14,2022-04-28,20.000,11,11.000,0.583,0.571,5.974,5.395,0.217,0.199,1.109,1.851
111,2022-04-28,2022-05-13,20.000,11,11.000,0.537,0.583,4.401,5.974,0.228,0.217,1.801,1.109
112,2022-05-13,2022-06-02,20.000,11,11.000,0.640,0.537,5.166,4.401,0.213,0.228,1.968,1.801
113,2022-06-02,2022-06-24,20.000,11,11.000,0.709,0.640,4.907,5.166,0.188,0.213,1.923,1.968
114,2022-06-24,2022-07-07,20.000,12,11.000,0.427,0.709,4.975,4.907,0.206,0.188,1.803,1.923
115,2022-07-07,2022-07-22,20.000,11,12.000,0.639,0.427,5.181,4.975,0.208,0.206,1.824,1.803
116,2022-07-22,2022-08-04,,12,11.000,,0.639,,5.181,,0.208,,1.824
117,2022-08-04,2022-08-19,,13,12.000,,,,,,,,
118,2022-08-19,2022-09-01,,12,13.000,,,,,,,,
119,2022-09-01,2022-09-16,20.000,13,12.000,0.746,,5.112,,0.233,,2.371,
120,2022-09-16,2022-10-06,20.000,14,13.000,0.680,0.746,5.272,5.112,0.273,0.233,2.134,2.371
121,2022-10-06,2022-10-14,20.000,15,14.000,0.780,0.680,5.654,5.272,0.332,0.273,2.061,2.134
122,2022-10-14,2022-11-03,20.000,15,15.000,0.729,0.780,5.591,5.654,0.271,0.332,2.004,2.061
123,2022-11-03,2022-11-11,20.000,14,15.000,0.753,0.729,5.341,5.591,0.228,0.271,1.932,2.004
124,2022-11-11,2022-12-01,20.000,14,14.000,0.828,0.753,6.042,5.341,0.252,0.228,1.908,1.932
125,2022-12-01,2022-12-09,20.000,15,14.000,0.771,0.828,5.234,6.042,0.246,0.252,2.200,1.908
126,2022-12-09,2023-01-05,20.000,15,15.000,0.698,0.771,5.306,5.234,0.272,0.246,1.783,2.200
127,2023-01-05,2023-01-19,20.000,15,15.000,0.717,0.698,5.543,5.306,0.417,0.272,2.857,1.783
128,2023-01-19,2023-02-02,20.000,14,15.000,0.754,0.717,4.963,5.543,0.204,0.417,1.703,2.857
129,2023-02-02,2023-02-17,20.000,15,14.000,0.609,0.754,5.148,4.963,0.244,0.204,1.914,1.703
130,2023-02-17,2023-03-02,20.000,15,15.000,0.818,0.609,6.072,5.148,0.432,0.244,1.553,1.914
131,2023-03-02,2023-03-17,20.000,14,15.000,0.716,0.818,5.155,6.072,0.284,0.432,2.046,1.553
132,2023-03-17,2023-04-06,20.000,15,14.000,0.703,0.716,5.176,5.155,0.255,0.284,2.126,2.046
133,2023-04-06,2023-04-14,,15,15.000,,0.703,,5.176,,0.255,,2.126
134,2023-04-14,2023-05-04,20.000,15,15.000,0.816,,5.048,,0.235,,2.230,
135,2023-05-04,2023-05-12,20.000,16,15.000,0.720,0.816,5.431,5.048,0.280,0.235,2.296,2.230
136,2023-05-12,2023-06-01,20.000,16,16.000,0.697,0.720,5.458,5.431,0.272,0.280,1.852,2.296
137,2023-06-01,2023-06-23,20.000,18,16.000,0.766,0.697,5.780,5.458,0.271,0.272,1.995,1.852
138,2023-06-23,2023-07-06,20.000,19,18.000,0.887,0.766,5.722,5.780,0.261,0.271,2.408,1.995
139,2023-07-06,2023-07-21,20.000,20,19.000,0.614,0.887,5.152,5.722,0.224,0.261,2.200,2.408
140,2023-07-21,2023-08-04,,20,20.000,,0.614,,5.152,,0.224,,2.200
141,2023-08-04,2023-08-18,,21,20.000,,,,,,,,
142,2023-08-18,2023-08-31,,21,21.000,,,,,,,,
143,2023-08-31,2023-09-15,20.000,22,21.000,0.902,,5.611,,0.322,,2.531,
144,2023-09-15,2023-09-28,20.000,22,22.000,0.603,0.902,5.220,5.611,0.273,0.322,2.548,2.531
145,2023-09-28,2023-10-13,20.000,22,22.000,0.808,0.603,5.200,5.220,0.263,0.273,2.420,2.548
146,2023-10-13,2023-11-02,20.000,23,22.000,0.779,0.808,4.648,5.200,0.253,0.263,2.320,2.420
147,2023-11-02,2023-11-10,20.000,22,23.000,0.817,0.779,4.870,4.648,0.308,0.253,2.370,2.320
148,2023-11-10,2023-12-07,20.000,21,22.000,0.747,0.817,5.302,4.870,0.292,0.308,2.381,2.370
149,2023-12-07,2023-12-22,20.000,21,21.000,0.828,0.747,5.898,5.302,0.289,0.292,1.906,2.381
150,2023-12-22,2024-01-04,,21,21.000,,0.828,,5.898,,0.289,,1.906
151,2024-01-04,2024-02-01,20.000,22,21.000,0.752,,5.220,,0.388,,2.526,
152,2024-02-01,2024-03-07,20.000,19,22.000,0.792,0.752,4.596,5.220,0.272,0.388,2.257,2.526
153,2024-03-07,2024-04-04,20.000,19,19.000,0.684,0.792,4.637,4.596,0.316,0.272,2.429,2.257
154,2024-04-04,2024-05-02,20.000,18,19.000,0.668,0.684,5.432,4.637,0.306,0.316,2.199,2.429
155,2024-05-02,2024-05-30,20.000,18,18.000,0.787,0.668,4.994,5.432,0.284,0.306,2.066,2.199
156,2024-05-30,2024-07-04,20.000,18,18.000,0.767,0.787,5.122,4.994,0.339,0.284,2.588,2.066
157,2024-07-04,2024-08-08,20.000,17,18.000,0.805,0.767,5.380,5.122,0.238,0.339,2.110,2.588
158,2024-08-08,2024-09-05,,16,17.000,,0.805,,5.380,,0.238,,2.110
159,2024-09-05,2024-10-10,20.000,17,16.000,0.859,,5.611,,0.325,,2.598,
160,2024-10-10,2024-10-31,20.000,17,17.000,0.666,0.859,4.772,5.611,0.298,0.325,2.622,2.598
161,2024-10-31,2024-11-07,20.000,17,17.000,0.763,0.666,5.757,4.772,0.304,0.298,2.660,2.622
162,2024-11-07,2024-11-21,20.000,18,17.000,1.073,0.763,6.006,5.757,0.359,0.304,2.425,2.660
163,2024-11-21,2024-12-05,20.000,19,18.000,0.730,1.073,5.538,6.006,0.381,0.359,3.025,2.425
164,2024-12-05,2024-12-19,20.000,18,19.000,0.794,0.730,4.982,5.538,0.323,0.381,2.579,3.025
165,2024-12-19,2025-01-09,20.000,19,18.000,0.613,0.794,4.251,4.982,0.446,0.323,2.946,2.579
166,2025-01-09,2025-01-30,20.000,20,19.000,0.859,0.613,3.835,4.251,0.808,0.446,4.888,2.946
167,2025-01-30,2025-02-06,20.000,20,20.000,0.730,0.859,5.777,3.835,0.532,0.808,2.789,4.888
168,2025-02-06,2025-02-13,20.000,21,20.000,1.056,0.730,4.038,5.777,0.778,0.532,4.262,2.789
169,2025-02-13,2025-03-06,,21,21.000,,1.056,,4.038,,0.778,,4.262
170,2025-03-06,2025-04-03,20.000,21,21.000,0.741,,3.487,,0.319,,2.763,
171,2025-04-03,2025-05-07,21.000,24,21.000,0.333,0.741,,3.487,0.333,0.319,1.000,2.763
172,2025-05-07,2025-06-04,21.000,23,24.000,0.764,0.333,5.457,,0.325,0.333,2.127,1.000
173,2025-06-04,2025-07-03,21.000,23,23.000,0.845,0.764,6.002,5.457,0.312,0.325,2.017,2.127
174,2025-07-03,2025-08-07,21.000,23,23.000,0.802,0.845,5.895,6.002,0.293,0.312,1.959,2.017
175,2025-08-07,2025-09-03,,24,23.000,,0.802,,5.895,,0.293,,1.959
176,2025-09-03,2025-10-02,21.000,25,24.000,0.754,,5.663,,0.307,,2.154,
177,2025-10-02,2025-11-06,21.000,26,25.000,0.668,0.754,5.470,5.663,0.391,0.307,2.317,2.154
